id_run,numero_run,estado,tiempo_inicio,tiempo_fin,id_usuario,version_dataset,id_dataset,id_experimento
43,4,CANCELLED,2025-02-19 17:29:16,2025-02-19 17:30:16,65,3,5,73
44,14,COMPLETED,2025-08-26 15:14:52,2025-08-26 15:16:47,76,1,2,66
45,1,PENDING,2025-01-05 06:49:05,2025-01-05 06:55:56,55,2,1,21
46,6,COMPLETED,2025-04-26 11:21:45,2025-04-26 11:25:28,24,2,3,42
47,6,PENDING,2025-03-26 07:16:15,2025-03-26 07:23:54,28,1,5,80
48,13,RUNNING,2025-07-29 02:22:09,2025-07-29 02:29:25,50,3,7,25
49,14,CANCELLED,2025-07-24 15:41:35,2025-07-24 15:42:31,14,2,1,54
50,5,FAILED,2025-04-11 02:16:20,2025-04-11 02:19:16,41,3,8,26
51,4,PENDING,2025-02-23 09:06:46,2025-02-23 09:07:32,10,3,5,62
52,9,FAILED,2025-04-04 21:30:52,2025-04-04 21:38:44,98,2,7,34
53,1,RUNNING,2025-01-17 11:33:38,2025-01-17 11:33:43,22,2,1,58
54,4,CANCELLED,2025-04-07 17:04:55,2025-04-07 17:10:26,52,2,4,81
55,3,COMPLETED,2025-01-20 21:47:13,2025-01-20 21:47:35,17,2,7,90
56,5,PENDING,2025-01-30 18:35:17,2025-01-30 18:41:33,8,3,6,11
57,2,FAILED,2025-02-09 05:02:00,2025-02-09 05:06:25,83,2,8,55
58,12,RUNNING,2025-07-23 02:54:49,2025-07-23 03:00:35,91,4,4,100
59,6,CANCELLED,2025-03-04 09:20:00,2025-03-04 09:23:31,96,1,3,2
60,13,COMPLETED,2025-05-30 20:58:56,2025-05-30 21:01:43,11,1,2,5
61,14,CANCELLED,2025-08-02 23:25:26,2025-08-02 23:27:36,95,2,3,10
62,8,FAILED,2025-04-22 13:38:15,2025-04-22 13:43:49,37,2,5,37
63,7,COMPLETED,2025-04-09 20:38:23,2025-04-09 20:38:55,67,3,6,19
64,4,PENDING,2025-03-10 00:01:24,2025-03-10 00:03:47,16,3,7,16
65,11,RUNNING,2025-06-21 11:29:37,2025-06-21 11:33:35,30,2,7,9
66,13,FAILED,2025-07-17 08:27:40,2025-07-17 08:33:53,73,1,3,3
67,9,COMPLETED,2025-04-13 15:18:17,2025-04-13 15:23:08,15,3,4,27
68,15,PENDING,2025-07-13 20:18:00,2025-07-13 20:23:35,59,1,8,74
69,9,RUNNING,2025-05-27 13:24:35,2025-05-27 13:28:56,35,1,8,13
70,9,CANCELLED,2025-05-11 21:58:46,2025-05-11 22:02:31,3,4,2,92
71,5,PENDING,2025-03-16 20:39:09,2025-03-16 20:39:33,47,4,2,99
72,5,FAILED,2025-04-03 02:57:55,2025-04-03 02:58:10,36,3,7,12
73,12,RUNNING,2025-07-12 12:26:27,2025-07-12 12:26:50,7,3,6,40
74,11,CANCELLED,2025-05-10 19:35:06,2025-05-10 19:36:49,21,4,5,30
75,1,COMPLETED,2025-01-22 09:00:12,2025-01-22 09:01:02,1,4,6,78
76,5,COMPLETED,2025-05-19 18:24:45,2025-05-19 18:31:09,53,2,1,89
77,9,RUNNING,2025-07-05 04:27:45,2025-07-05 04:34:14,56,4,4,84
78,10,FAILED,2025-06-03 15:38:44,2025-06-03 15:42:16,49,1,6,72
79,14,CANCELLED,2025-08-07 13:05:56,2025-08-07 13:08:31,85,2,1,4
80,12,PENDING,2025-05-26 12:46:46,2025-05-26 12:49:40,42,1,5,35
81,14,PENDING,2025-08-10 22:17:48,2025-08-10 22:19:23,34,2,2,87
82,7,COMPLETED,2025-05-31 10:19:44,2025-05-31 10:24:05,70,1,3,51
83,8,RUNNING,2025-04-17 22:14:31,2025-04-17 22:19:45,5,2,3,49
84,14,CANCELLED,2025-08-04 03:16:28,2025-08-04 03:23:11,31,2,7,82
85,6,FAILED,2025-03-27 19:06:25,2025-03-27 19:08:10,87,3,8,6
86,4,PENDING,2025-02-12 23:52:57,2025-02-12 23:54:16,27,3,1,53
87,4,FAILED,2025-03-27 12:16:26,2025-03-27 12:24:15,23,1,4,97
88,8,RUNNING,2025-06-15 19:51:31,2025-06-15 19:54:05,61,3,4,61
89,6,CANCELLED,2025-05-09 19:29:22,2025-05-09 19:31:36,13,1,5,88
90,7,COMPLETED,2025-04-13 05:14:24,2025-04-13 05:16:05,18,2,2,91
91,1,RUNNING,2025-01-27 23:52:47,2025-01-27 23:53:02,90,4,7,8
92,4,CANCELLED,2025-01-19 05:43:57,2025-01-19 05:49:13,77,2,3,23
93,4,COMPLETED,2025-02-24 06:10:31,2025-02-24 06:14:46,89,4,6,71
94,10,PENDING,2025-06-01 23:33:35,2025-06-01 23:38:47,80,3,3,98
95,13,FAILED,2025-08-06 02:06:29,2025-08-06 02:13:29,79,4,6,17
96,9,PENDING,2025-07-14 10:19:36,2025-07-14 10:27:33,58,2,8,32
97,14,RUNNING,2025-08-10 06:32:43,2025-08-10 06:35:31,51,3,5,48
98,10,CANCELLED,2025-06-26 22:03:05,2025-06-26 22:06:49,32,1,2,93
99,4,FAILED,2025-02-07 21:38:50,2025-02-07 21:42:54,69,3,7,20
100,11,COMPLETED,2025-08-04 22:30:38,2025-08-04 22:34:02,19,1,7,95
101,3,CANCELLED,2025-03-23 12:32:17,2025-03-23 12:38:59,83,2,8,12
102,12,FAILED,2025-07-22 18:04:12,2025-07-22 18:11:49,59,2,1,64
103,12,PENDING,2025-06-13 19:01:59,2025-06-13 19:03:51,37,2,2,4
104,1,COMPLETED,2025-01-20 06:37:33,2025-01-20 06:37:44,54,1,4,48
105,7,RUNNING,2025-03-28 12:32:08,2025-03-28 12:34:46,49,2,6,15
106,9,PENDING,2025-06-27 17:27:39,2025-06-27 17:27:46,31,3,2,23
107,9,COMPLETED,2025-04-26 12:11:19,2025-04-26 12:13:01,82,2,6,25
108,15,FAILED,2025-08-25 04:00:56,2025-08-25 04:03:24,75,1,7,61
109,3,RUNNING,2025-01-19 04:34:47,2025-01-19 04:38:44,29,4,4,11
110,10,CANCELLED,2025-05-30 00:21:39,2025-05-30 00:26:21,51,3,1,44
111,7,FAILED,2025-04-23 12:06:32,2025-04-23 12:10:34,13,3,5,47
112,10,RUNNING,2025-05-15 16:11:50,2025-05-15 16:18:57,69,2,3,18
113,12,CANCELLED,2025-06-28 16:41:01,2025-06-28 16:48:43,26,2,4,67
114,5,COMPLETED,2025-05-02 15:50:40,2025-05-02 15:55:46,74,1,5,38
115,5,PENDING,2025-02-21 15:20:05,2025-02-21 15:25:33,73,3,8,90
116,3,CANCELLED,2025-04-14 18:45:33,2025-04-14 18:48:57,43,3,1,70
117,6,PENDING,2025-03-26 01:26:40,2025-03-26 01:29:12,35,1,5,74
118,12,COMPLETED,2025-07-03 07:15:36,2025-07-03 07:18:21,52,3,2,71
119,2,FAILED,2025-01-30 22:40:28,2025-01-30 22:47:43,98,1,4,6
120,6,RUNNING,2025-03-27 11:31:07,2025-03-27 11:38:59,32,1,3,65
121,12,COMPLETED,2025-08-07 04:24:11,2025-08-07 04:27:31,8,1,6,37
122,10,PENDING,2025-04-30 04:13:13,2025-04-30 04:15:32,45,1,7,5
123,2,RUNNING,2025-02-20 06:24:30,2025-02-20 06:26:03,27,4,2,88
124,10,CANCELLED,2025-06-18 16:35:27,2025-06-18 16:42:57,38,3,8,63
125,8,FAILED,2025-05-30 11:46:05,2025-05-30 11:48:51,62,2,1,32
126,5,COMPLETED,2025-05-05 12:14:26,2025-05-05 12:16:11,22,1,5,81
127,11,PENDING,2025-07-23 15:41:35,2025-07-23 15:44:51,86,1,1,66
128,7,RUNNING,2025-05-13 17:08:52,2025-05-13 17:15:14,92,3,3,80
129,12,CANCELLED,2025-07-04 21:53:15,2025-07-04 21:55:01,33,4,7,30
130,14,FAILED,2025-08-11 22:18:51,2025-08-11 22:24:57,96,1,8,2
131,7,RUNNING,2025-04-10 09:29:15,2025-04-10 09:32:57,100,2,7,75
132,15,CANCELLED,2025-08-27 06:58:21,2025-08-27 07:03:30,30,3,7,36
133,14,FAILED,2025-07-26 12:23:40,2025-07-26 12:29:07,14,1,4,98
134,8,PENDING,2025-04-25 04:50:39,2025-04-25 04:56:31,91,3,8,17
135,9,COMPLETED,2025-06-10 07:15:20,2025-06-10 07:22:47,97,3,3,46
136,15,CANCELLED,2025-08-22 23:15:28,2025-08-22 23:20:08,4,4,5,69
137,5,FAILED,2025-03-01 19:34:38,2025-03-01 19:35:57,10,1,4,19
138,1,COMPLETED,2025-02-11 00:41:14,2025-02-11 00:42:01,94,2,4,97
139,11,PENDING,2025-06-17 17:33:23,2025-06-17 17:37:54,15,1,1,56
140,15,RUNNING,2025-08-28 01:54:17,2025-08-28 01:54:48,77,2,2,1
141,15,RUNNING,2025-08-31 11:27:02,2025-08-31 11:32:01,93,2,2,91
142,4,CANCELLED,2025-03-28 16:06:56,2025-03-28 16:11:11,3,2,5,84
143,7,COMPLETED,2025-03-16 19:20:30,2025-03-16 19:26:44,80,3,6,87
144,15,PENDING,2025-08-29 21:07:52,2025-08-29 21:08:59,56,1,4,59
145,3,FAILED,2025-03-11 21:17:32,2025-03-11 21:20:49,99,1,3,43
146,2,FAILED,2025-01-31 21:10:04,2025-01-31 21:14:20,39,3,6,9
147,8,CANCELLED,2025-04-09 11:47:51,2025-04-09 11:51:36,66,2,6,96
148,3,PENDING,2025-02-21 12:53:13,2025-02-21 12:58:11,25,3,3,92
149,1,COMPLETED,2025-01-21 06:39:50,2025-01-21 06:45:04,41,2,2,26
150,9,RUNNING,2025-05-22 23:52:46,2025-05-22 23:58:56,85,3,5,57
151,12,CANCELLED,2025-07-11 21:07:09,2025-07-11 21:14:46,1,3,6,89
152,14,FAILED,2025-08-08 12:43:22,2025-08-08 12:44:47,84,1,8,53
153,11,COMPLETED,2025-06-06 11:55:21,2025-06-06 11:55:50,61,3,4,72
154,2,PENDING,2025-02-07 21:19:26,2025-02-07 21:26:21,48,1,4,54
155,9,RUNNING,2025-05-09 15:17:36,2025-05-09 15:23:03,90,4,5,20
156,10,PENDING,2025-03-25 19:29:06,2025-03-25 19:29:09,5,2,1,83
157,2,FAILED,2025-01-25 18:45:41,2025-01-25 18:53:38,18,4,3,7
158,4,RUNNING,2025-03-20 05:58:02,2025-03-20 05:58:24,36,3,8,55
159,5,CANCELLED,2025-03-07 22:48:09,2025-03-07 22:53:20,11,1,1,51
160,6,COMPLETED,2025-04-19 06:01:26,2025-04-19 06:03:11,53,2,2,31
161,5,PENDING,2025-02-26 06:08:14,2025-02-26 06:13:06,72,2,7,58
162,8,RUNNING,2025-06-07 09:28:07,2025-06-07 09:32:43,63,1,3,28
163,14,CANCELLED,2025-06-16 01:22:26,2025-06-16 01:23:37,9,2,3,85
164,2,FAILED,2025-03-17 03:07:12,2025-03-17 03:09:43,12,2,7,100
165,3,COMPLETED,2025-02-06 10:48:15,2025-02-06 10:55:50,65,3,6,82
166,13,RUNNING,2025-08-13 03:43:12,2025-08-13 03:45:36,76,2,7,16
167,12,CANCELLED,2025-07-11 19:36:59,2025-07-11 19:43:33,95,1,8,8
168,1,COMPLETED,2025-01-16 20:18:16,2025-01-16 20:21:34,57,3,2,77
169,5,PENDING,2025-06-15 02:35:04,2025-06-15 02:38:18,68,3,3,60
170,8,FAILED,2025-03-21 16:02:55,2025-03-21 16:10:11,47,1,5,24
171,9,COMPLETED,2025-05-31 11:01:53,2025-05-31 11:06:37,58,4,7,93
172,5,RUNNING,2025-03-06 14:55:49,2025-03-06 15:00:37,42,2,2,3
173,3,CANCELLED,2025-03-08 02:40:19,2025-03-08 02:40:34,28,4,4,99
174,1,FAILED,2025-01-02 18:30:50,2025-01-02 18:33:36,60,1,6,29
175,12,PENDING,2025-07-01 17:15:56,2025-07-01 17:16:32,79,2,2,22
176,5,PENDING,2025-03-17 07:02:39,2025-03-17 07:09:59,71,1,4,45
177,14,RUNNING,2025-08-23 04:20:54,2025-08-23 04:26:27,64,1,5,13
178,12,CANCELLED,2025-06-22 05:17:51,2025-06-22 05:24:43,88,4,5,79
179,7,FAILED,2025-05-09 03:18:17,2025-05-09 03:20:05,81,3,6,42
180,8,COMPLETED,2025-04-02 22:22:33,2025-04-02 22:27:39,34,3,1,35
181,6,COMPLETED,2025-03-05 09:44:48,2025-03-05 09:52:31,20,1,4,78
182,4,PENDING,2025-02-09 10:26:28,2025-02-09 10:26:44,23,4,5,41
183,9,RUNNING,2025-07-18 23:50:08,2025-07-18 23:56:31,70,1,5,95
184,13,CANCELLED,2025-07-31 23:43:06,2025-07-31 23:44:54,78,3,6,62
185,2,FAILED,2025-01-24 11:17:23,2025-01-24 11:25:08,24,1,1,76
186,3,PENDING,2025-01-18 07:24:49,2025-01-18 07:29:05,16,1,6,52
187,9,COMPLETED,2025-07-09 19:58:40,2025-07-09 19:58:48,17,2,8,94
188,6,RUNNING,2025-03-10 17:01:00,2025-03-10 17:02:23,40,2,4,33
189,13,CANCELLED,2025-06-26 06:54:49,2025-06-26 06:58:28,89,1,4,21
190,1,FAILED,2025-01-03 17:01:00,2025-01-03 17:02:46,46,1,5,73
191,2,RUNNING,2025-01-13 10:32:53,2025-01-13 10:35:24,7,2,1,49
192,13,CANCELLED,2025-07-26 08:28:22,2025-07-26 08:32:33,44,4,3,10
193,2,COMPLETED,2025-02-08 19:22:01,2025-02-08 19:29:23,67,2,8,39
194,15,PENDING,2025-08-25 00:54:42,2025-08-25 00:56:43,19,3,1,40
195,3,FAILED,2025-02-05 05:45:02,2025-02-05 05:51:46,50,3,2,34
196,6,RUNNING,2025-02-18 17:56:15,2025-02-18 17:58:05,2,2,7,86
197,9,CANCELLED,2025-05-07 05:02:05,2025-05-07 05:04:34,55,2,3,14
198,6,FAILED,2025-03-16 19:06:42,2025-03-16 19:07:13,21,3,3,68
199,15,PENDING,2025-08-21 20:09:33,2025-08-21 20:16:14,87,3,7,27
200,4,COMPLETED,2025-03-08 13:48:50,2025-03-08 13:53:58,6,3,6,50
201,5,FAILED,2025-04-23 23:52:56,2025-04-24 00:00:11,17,4,7,93
202,2,RUNNING,2025-01-10 20:43:18,2025-01-10 20:48:48,80,2,8,2
203,11,CANCELLED,2025-07-03 08:07:34,2025-07-03 08:13:05,70,2,2,70
204,15,COMPLETED,2025-08-13 14:55:39,2025-08-13 15:03:20,1,2,3,14
205,3,PENDING,2025-02-27 02:56:29,2025-02-27 03:01:50,18,3,5,94
206,12,CANCELLED,2025-07-17 02:41:03,2025-07-17 02:44:32,58,3,7,63
207,1,COMPLETED,2025-02-15 23:49:10,2025-02-15 23:56:03,32,4,2,44
208,6,PENDING,2025-03-05 01:44:51,2025-03-05 01:47:20,2,3,4,69
209,9,FAILED,2025-06-15 15:20:14,2025-06-15 15:25:50,73,1,6,8
210,1,RUNNING,2025-01-25 12:15:55,2025-01-25 12:22:06,34,1,2,50
211,10,FAILED,2025-07-10 11:57:51,2025-07-10 12:04:19,36,2,3,23
212,4,RUNNING,2025-02-15 22:36:51,2025-02-15 22:37:03,28,3,2,90
213,2,CANCELLED,2025-03-08 23:29:39,2025-03-08 23:35:23,21,3,7,12
214,7,PENDING,2025-06-03 10:45:00,2025-06-03 10:47:32,68,3,2,36
215,10,COMPLETED,2025-02-25 11:37:53,2025-02-25 11:41:15,10,3,1,29
216,4,PENDING,2025-01-28 19:52:08,2025-01-28 19:59:20,20,2,2,83
217,3,FAILED,2025-03-03 11:36:47,2025-03-03 11:44:43,16,2,7,56
218,10,RUNNING,2025-06-28 15:34:40,2025-06-28 15:39:23,53,3,5,3
219,4,CANCELLED,2025-01-19 14:08:17,2025-01-19 14:15:57,92,2,5,11
220,9,COMPLETED,2025-06-14 08:18:57,2025-06-14 08:21:40,15,4,4,54
221,12,PENDING,2025-07-06 18:24:35,2025-07-06 18:28:21,64,3,4,13
222,2,FAILED,2025-02-12 22:58:25,2025-02-12 23:05:25,93,3,4,46
223,10,RUNNING,2025-06-25 05:09:28,2025-06-25 05:12:28,83,1,4,81
224,5,CANCELLED,2025-03-04 15:31:54,2025-03-04 15:33:12,66,2,2,22
225,6,COMPLETED,2025-04-13 04:20:00,2025-04-13 04:24:20,12,1,1,47
226,10,RUNNING,2025-07-10 15:10:24,2025-07-10 15:10:37,13,1,6,60
227,15,FAILED,2025-09-01 13:01:59,2025-09-01 13:03:55,95,1,1,84
228,5,CANCELLED,2025-03-09 13:28:18,2025-03-09 13:28:18,51,1,7,75
229,14,PENDING,2025-08-06 19:08:49,2025-08-06 19:10:22,31,2,5,6
230,10,COMPLETED,2025-08-01 00:53:27,2025-08-01 00:57:26,6,4,6,61
231,1,COMPLETED,2025-01-22 02:52:36,2025-01-22 02:57:58,89,3,8,89
232,12,FAILED,2025-07-31 09:14:44,2025-07-31 09:14:50,82,4,3,66
233,6,RUNNING,2025-03-26 11:06:52,2025-03-26 11:12:02,3,2,5,15
234,1,CANCELLED,2025-01-04 17:21:35,2025-01-04 17:22:52,81,2,3,86
235,14,PENDING,2025-08-07 12:26:12,2025-08-07 12:31:50,24,3,3,58
236,12,CANCELLED,2025-07-08 10:00:12,2025-07-08 10:01:15,7,1,6,16
237,13,FAILED,2025-08-16 23:25:42,2025-08-16 23:26:12,50,4,6,32
238,8,PENDING,2025-05-19 06:48:11,2025-05-19 06:55:41,39,3,8,80
239,9,COMPLETED,2025-04-10 14:05:37,2025-04-10 14:08:12,63,1,8,79
240,15,RUNNING,2025-08-09 12:48:20,2025-08-09 12:52:04,60,1,7,78
241,7,CANCELLED,2025-04-08 11:47:12,2025-04-08 11:48:14,90,2,2,17
242,6,FAILED,2025-04-24 16:17:51,2025-04-24 16:22:59,59,3,3,48
243,9,COMPLETED,2025-05-27 23:59:39,2025-05-28 00:01:04,46,1,5,26
244,7,PENDING,2025-04-07 09:06:55,2025-04-07 09:12:52,9,4,6,72
245,5,RUNNING,2025-04-20 11:46:41,2025-04-20 11:51:56,75,4,7,100
246,10,CANCELLED,2025-06-13 04:54:07,2025-06-13 04:54:16,61,1,7,99
247,14,FAILED,2025-07-20 02:22:17,2025-07-20 02:26:45,40,1,3,21
248,8,COMPLETED,2025-05-26 05:17:48,2025-05-26 05:20:20,76,2,4,62
249,1,PENDING,2025-01-09 08:30:24,2025-01-09 08:32:09,67,3,8,49
250,8,RUNNING,2025-07-13 12:59:25,2025-07-13 13:05:04,97,3,8,95
251,13,COMPLETED,2025-07-16 05:10:47,2025-07-16 05:18:00,14,3,2,98
252,8,PENDING,2025-04-26 00:57:11,2025-04-26 01:01:29,65,3,2,55
253,2,RUNNING,2025-02-07 03:34:19,2025-02-07 03:40:57,43,2,7,73
254,15,CANCELLED,2025-08-19 11:14:53,2025-08-19 11:14:59,33,2,6,33
255,3,FAILED,2025-02-04 13:32:53,2025-02-04 13:34:54,30,3,5,87
256,7,RUNNING,2025-03-29 05:27:59,2025-03-29 05:30:25,79,2,6,68
257,2,CANCELLED,2025-01-27 10:03:48,2025-01-27 10:09:16,87,3,1,20
258,1,FAILED,2025-01-22 20:59:33,2025-01-22 21:01:07,78,3,4,24
259,8,COMPLETED,2025-04-12 23:29:00,2025-04-12 23:30:17,98,3,6,27
260,13,PENDING,2025-06-23 23:10:47,2025-06-23 23:12:20,94,1,1,74
261,7,COMPLETED,2025-05-23 18:22:51,2025-05-23 18:27:28,100,2,5,43
262,7,PENDING,2025-05-07 12:03:10,2025-05-07 12:09:07,54,1,2,38
263,14,FAILED,2025-08-18 07:24:32,2025-08-18 07:30:22,41,1,3,88
264,2,RUNNING,2025-01-13 11:19:30,2025-01-13 11:23:22,48,1,3,10
265,7,CANCELLED,2025-04-09 03:00:33,2025-04-09 03:01:10,27,1,7,65
266,11,FAILED,2025-06-24 03:07:27,2025-06-24 03:10:42,47,2,8,19
267,11,RUNNING,2025-07-21 06:39:42,2025-07-21 06:43:40,69,3,1,42
268,11,CANCELLED,2025-05-25 23:15:08,2025-05-25 23:21:05,55,4,4,67
269,4,PENDING,2025-02-28 13:29:20,2025-02-28 13:35:45,23,4,4,51
270,7,COMPLETED,2025-04-13 20:15:20,2025-04-13 20:19:53,38,2,5,30
271,14,FAILED,2025-08-09 05:38:16,2025-08-09 05:42:07,52,3,6,64
272,9,RUNNING,2025-05-27 18:21:36,2025-05-27 18:24:06,96,2,1,31
273,15,CANCELLED,2025-08-31 18:58:23,2025-08-31 19:02:51,74,3,5,39
274,14,COMPLETED,2025-08-29 00:43:01,2025-08-29 00:50:52,72,3,8,91
275,1,PENDING,2025-01-31 08:23:47,2025-01-31 08:31:22,56,1,4,96
276,1,CANCELLED,2025-01-10 08:36:06,2025-01-10 08:37:32,62,2,1,4
277,13,PENDING,2025-07-20 17:45:16,2025-07-20 17:51:08,37,4,2,82
278,3,COMPLETED,2025-02-27 11:33:25,2025-02-27 11:39:40,11,2,6,77
279,7,RUNNING,2025-04-04 14:33:50,2025-04-04 14:37:39,44,2,4,76
280,5,FAILED,2025-05-01 22:49:51,2025-05-01 22:53:11,99,4,5,97
281,14,CANCELLED,2025-06-30 18:52:55,2025-06-30 18:55:28,84,1,7,5
282,2,FAILED,2025-02-01 21:42:21,2025-02-01 21:46:50,86,2,7,35
283,13,PENDING,2025-07-09 10:40:25,2025-07-09 10:43:02,71,1,7,71
284,4,COMPLETED,2025-02-11 23:24:01,2025-02-11 23:25:51,77,2,3,40
285,13,RUNNING,2025-07-27 17:41:26,2025-07-27 17:43:35,88,3,1,9
286,2,CANCELLED,2025-02-15 05:06:41,2025-02-15 05:10:32,49,1,3,25
287,6,COMPLETED,2025-05-28 14:38:57,2025-05-28 14:46:43,8,3,2,1
288,8,PENDING,2025-03-18 10:57:59,2025-03-18 11:01:07,85,2,4,34
289,6,FAILED,2025-02-07 22:06:10,2025-02-07 22:09:39,57,1,8,52
290,4,RUNNING,2025-03-06 07:02:13,2025-03-06 07:09:57,5,1,2,59
291,13,PENDING,2025-08-12 18:33:33,2025-08-12 18:34:23,22,1,6,28
292,5,RUNNING,2025-02-16 20:20:11,2025-02-16 20:27:27,19,2,4,53
293,3,CANCELLED,2025-03-08 14:27:16,2025-03-08 14:28:06,25,1,3,45
294,11,FAILED,2025-06-03 14:20:28,2025-06-03 14:21:45,42,4,3,92
295,2,COMPLETED,2025-01-28 06:52:08,2025-01-28 06:58:33,91,3,6,41
296,1,PENDING,2025-01-03 04:52:18,2025-01-03 04:56:24,26,2,2,18
297,5,RUNNING,2025-03-21 20:57:39,2025-03-21 21:02:55,29,3,5,85
298,6,CANCELLED,2025-04-19 07:39:12,2025-04-19 07:47:06,4,1,5,57
299,6,FAILED,2025-04-04 04:44:07,2025-04-04 04:45:54,35,3,8,37
300,13,COMPLETED,2025-06-21 23:19:16,2025-06-21 23:21:55,45,4,7,7
301,10,CANCELLED,2025-06-07 03:06:14,2025-06-07 03:06:17,8,1,4,25
302,6,FAILED,2025-04-07 18:46:22,2025-04-07 18:53:35,56,3,8,13
303,10,COMPLETED,2025-06-05 15:12:22,2025-06-05 15:19:20,48,2,1,2
304,1,PENDING,2025-01-23 18:54:29,2025-01-23 18:57:23,96,1,3,62
305,2,RUNNING,2025-01-28 22:09:04,2025-01-28 22:16:38,68,2,3,33
306,4,FAILED,2025-03-14 11:10:38,2025-03-14 11:14:21,84,2,4,96
307,3,RUNNING,2025-02-22 19:55:00,2025-02-22 19:58:39,14,2,7,5
308,14,CANCELLED,2025-08-28 13:41:56,2025-08-28 13:45:45,81,3,6,60
309,8,PENDING,2025-04-16 19:32:54,2025-04-16 19:37:25,79,2,8,74
310,15,COMPLETED,2025-08-25 22:58:27,2025-08-25 23:02:05,59,1,4,100
311,1,COMPLETED,2025-02-07 02:46:29,2025-02-07 02:52:32,22,2,1,93
312,6,FAILED,2025-02-27 14:18:57,2025-02-27 14:25:58,23,1,4,87
313,4,RUNNING,2025-03-01 01:21:10,2025-03-01 01:24:16,64,3,2,42
314,9,CANCELLED,2025-07-21 05:09:52,2025-07-21 05:12:14,44,1,3,66
315,15,PENDING,2025-08-27 04:29:42,2025-08-27 04:32:35,26,4,5,95
