nombre_metrica,split,id_run,valor
recall,test,1033,0.85
auc_roc,train,1034,0.81
accuracy,val,1034,0.9
recall,test,1034,0.88
auc_roc,train,1035,0.86
log_loss,test,1035,0.31
auc_roc,val,1035,0.74
precision,test,1036,0.85
recall,train,1036,0.92
f1,train,1036,0.8
precision,train,1037,0.92
auc_roc,train,1037,0.62
accuracy,val,1037,0.94
recall,test,1038,0.84
recall,train,1038,0.67
f1,train,1038,0.76
auc_roc,train,1039,0.98
log_loss,test,1039,1.4
log_loss,train,1039,1.16
accuracy,test,104,0.92
accuracy,val,104,0.89
accuracy,train,104,0.84
auc_roc,test,1040,0.83
auc_roc,train,1040,0.5
precision,val,1040,0.71
recall,test,1041,0.77
recall,train,1041,0.9
f1,train,1041,0.75
accuracy,test,1042,0.83
f1,train,1042,0.84
log_loss,train,1042,0.51
log_loss,train,1043,1.38
recall,train,1043,0.81
precision,train,1043,0.66
auc_roc,train,1044,0.64
precision,test,1044,0.65
f1,val,1045,0.6
auc_roc,test,1045,0.85
accuracy,train,1045,0.86
accuracy,val,1046,0.86
f1,test,1046,0.68
f1,train,1046,0.88
recall,train,1047,0.62
accuracy,val,1047,0.85
precision,val,1047,0.72
auc_roc,train,1048,0.64
precision,train,1048,0.95
log_loss,train,1048,0.13
f1,test,1049,0.94
recall,train,1049,0.73
precision,train,1049,0.8
precision,train,105,0.82
auc_roc,train,105,0.82
auc_roc,test,105,0.62
accuracy,val,1050,0.98
auc_roc,test,1050,0.85
f1,train,1050,0.81
precision,test,1051,0.68
precision,train,1051,0.73
auc_roc,train,1051,0.87
f1,test,1052,0.72
f1,val,1052,0.7
recall,val,1052,0.77
log_loss,train,1053,1.27
recall,train,1053,0.71
f1,train,1053,0.95
log_loss,test,1054,0.71
precision,train,1054,0.62
log_loss,train,1054,1.35
log_loss,test,1055,1.37
auc_roc,train,1055,0.68
accuracy,val,1055,0.91
accuracy,val,1056,0.84
auc_roc,val,1056,0.93
log_loss,train,1056,0.71
precision,test,1057,0.77
auc_roc,test,1057,0.83
accuracy,train,1057,0.92
precision,val,1058,0.62
log_loss,train,1058,1.01
f1,val,1058,0.93
f1,train,1059,0.96
accuracy,val,1059,0.94
log_loss,val,1059,0.68
accuracy,train,106,0.98
auc_roc,train,106,0.88
f1,test,1060,0.92
log_loss,val,1060,0.78
accuracy,train,1060,0.89
accuracy,train,1061,0.85
precision,train,1061,0.65
precision,test,1061,0.91
recall,val,1062,0.96
precision,val,1062,0.81
log_loss,train,1062,0.33
log_loss,train,1063,0.96
accuracy,val,1063,0.95
auc_roc,train,1063,0.68
accuracy,train,1064,0.83
f1,test,1064,0.89
auc_roc,val,1064,0.9
accuracy,val,1065,0.88
f1,train,1065,0.75
recall,train,1065,0.79
accuracy,test,1066,0.93
auc_roc,test,1066,0.85
precision,val,1066,0.74
recall,val,1067,0.98
log_loss,val,1067,0.82
accuracy,val,1067,0.84
recall,train,1068,0.6
recall,val,1068,0.84
accuracy,val,1068,0.87
f1,test,1069,0.69
f1,train,1069,0.98
auc_roc,train,1069,0.55
precision,train,107,0.7
f1,val,107,0.66
log_loss,test,107,0.58
log_loss,val,1070,1.21
accuracy,test,1070,0.98
f1,val,1070,0.91
precision,train,1071,0.97
accuracy,train,1071,0.88
f1,test,1071,0.98
f1,val,1072,0.82
precision,train,1072,0.85
auc_roc,train,1072,0.57
auc_roc,val,1073,0.59
f1,val,1073,0.61
accuracy,train,1074,0.99
log_loss,val,1074,0.63
f1,train,1074,0.84
precision,val,1075,0.8
f1,test,1075,0.76
auc_roc,test,1075,0.79
recall,train,1076,0.74
auc_roc,train,1076,0.57
auc_roc,test,1076,0.87
f1,train,1077,0.91
auc_roc,val,1077,0.59
auc_roc,train,1077,0.82
accuracy,val,1078,0.99
recall,train,1078,0.88
precision,train,1078,0.7
recall,val,1079,0.95
recall,test,1079,0.86
accuracy,train,1079,0.92
log_loss,test,108,1.33
auc_roc,val,108,0.87
log_loss,train,108,1.41
accuracy,test,1080,0.83
accuracy,train,1080,0.82
precision,test,1081,0.77
log_loss,test,1081,0.44
f1,train,1081,0.62
f1,train,1082,0.66
accuracy,test,1082,0.93
log_loss,val,1082,0.91
log_loss,val,1083,0.44
precision,train,1083,0.86
accuracy,test,1083,0.86
auc_roc,train,1084,0.58
accuracy,train,1085,0.98
log_loss,train,1085,0.68
log_loss,test,1085,1.13
accuracy,val,1086,0.93
recall,train,1086,0.85
auc_roc,val,1086,0.55
accuracy,train,1087,0.8
f1,test,1087,0.64
auc_roc,train,1087,0.96
log_loss,train,1088,1.08
f1,train,1088,0.77
accuracy,test,1088,0.92
auc_roc,train,1089,0.58
log_loss,train,1089,1.14
recall,train,1089,0.71
precision,test,109,0.84
accuracy,train,109,0.91
precision,train,109,0.74
f1,test,1090,0.85
recall,train,1090,0.76
log_loss,train,1090,1.36
recall,test,1091,0.8
auc_roc,val,1091,0.73
log_loss,test,1091,0.55
recall,test,1092,0.78
auc_roc,train,1092,0.75
auc_roc,val,1092,0.58
accuracy,test,1093,0.85
auc_roc,train,1093,0.78
f1,train,1093,0.63
accuracy,train,1094,0.96
precision,val,1094,0.63
log_loss,test,1094,0.35
recall,val,1095,0.82
auc_roc,val,1095,0.61
accuracy,val,1095,0.92
accuracy,test,1096,0.9
precision,train,1096,0.77
accuracy,train,1096,0.81
precision,train,1097,0.68
recall,train,1097,0.87
recall,test,1098,0.93
log_loss,train,1098,1.01
precision,train,1098,0.67
f1,train,1099,0.82
precision,train,1099,0.92
accuracy,train,11,0.97
precision,train,11,0.96
auc_roc,val,110,0.5
f1,train,110,0.88
auc_roc,test,110,0.93
accuracy,test,1100,0.84
precision,train,1100,0.88
f1,train,1101,0.64
log_loss,train,1101,1.12
log_loss,test,1101,0.67
log_loss,test,1102,1.36
accuracy,train,1102,0.87
auc_roc,test,1102,0.75
log_loss,train,1103,1.22
f1,val,1103,0.8
precision,train,1103,0.95
log_loss,train,1104,0.75
recall,train,1104,0.95
recall,test,1104,0.62
recall,test,1105,0.62
precision,test,1105,0.93
accuracy,train,1105,0.83
log_loss,val,1106,1.04
precision,train,1106,0.83
recall,train,1107,0.98
log_loss,train,1107,0.56
f1,train,1107,0.78
log_loss,val,1108,0.27
recall,test,1108,0.91
log_loss,train,1108,0.47
accuracy,train,1109,0.85
log_loss,val,1109,0.53
log_loss,train,1109,0.68
auc_roc,train,111,0.92
log_loss,train,111,0.96
precision,test,111,0.74
log_loss,val,1110,0.38
f1,test,1110,0.86
auc_roc,train,1110,0.68
accuracy,train,1111,0.87
precision,train,1111,0.84
recall,train,1111,0.84
accuracy,train,1112,0.98
precision,train,1112,0.62
recall,test,1112,0.79
precision,train,1113,0.85
auc_roc,train,1113,0.97
recall,train,1113,0.83
log_loss,train,1114,1.07
log_loss,val,1114,0.06
accuracy,train,1115,0.88
auc_roc,val,1115,0.69
recall,train,1115,0.72
log_loss,train,1116,1.14
log_loss,val,1116,0.69
log_loss,test,1116,0.68
accuracy,test,1117,0.85
accuracy,train,1117,0.83
precision,train,1117,0.91
f1,train,1118,0.86
accuracy,train,1118,0.93
recall,train,1119,0.98
precision,val,1119,0.97
recall,val,1119,0.96
recall,val,112,0.94
f1,val,112,0.76
f1,train,112,0.61
recall,val,1120,0.78
precision,train,1120,0.9
accuracy,test,1120,0.98
auc_roc,test,1121,0.88
accuracy,val,1121,0.99
precision,train,1121,0.9
auc_roc,train,1122,0.84
accuracy,val,1122,0.96
accuracy,train,1122,0.99
accuracy,train,1123,0.83
f1,train,1123,0.86
precision,train,1123,0.83
precision,val,1124,0.88
log_loss,val,1124,0.14
f1,train,1124,0.68
f1,val,1125,0.73
precision,val,1125,0.74
f1,test,1125,0.7
recall,train,1126,0.93
accuracy,train,1126,0.94
auc_roc,test,1126,0.83
recall,train,1127,0.78
precision,test,1127,0.85
auc_roc,val,1127,0.98
log_loss,train,1128,0.07
f1,test,1128,0.98
f1,val,1128,0.71
recall,val,1129,0.77
accuracy,test,1129,0.81
log_loss,val,1129,0.77
precision,train,113,0.93
recall,train,113,0.6
precision,val,113,0.64
recall,test,1130,0.98
accuracy,train,1130,0.92
precision,train,1130,0.98
recall,train,1131,0.6
precision,val,1131,0.89
f1,test,1131,0.96
accuracy,test,1132,0.97
log_loss,test,1132,0.64
precision,train,1132,0.96
f1,train,1133,0.67
log_loss,train,1133,0.34
recall,test,1133,0.85
f1,train,1134,0.82
log_loss,train,1134,0.85
auc_roc,train,1134,0.67
log_loss,test,1135,0.58
auc_roc,val,1135,0.67
log_loss,train,1135,0.35
precision,test,1136,0.63
log_loss,val,1136,0.29
f1,train,1136,0.61
f1,val,1137,0.8
recall,train,1137,0.82
f1,test,1137,0.97
auc_roc,val,1138,0.7
recall,train,1138,0.86
accuracy,train,1138,0.81
precision,train,1139,0.78
precision,test,1139,0.85
recall,val,1139,0.83
precision,train,114,0.74
recall,test,114,0.92
auc_roc,train,114,0.53
accuracy,train,1140,0.96
auc_roc,val,1140,0.8
precision,train,1140,0.8
accuracy,val,1141,0.98
log_loss,train,1141,0.08
recall,val,1142,0.67
log_loss,test,1142,0.33
accuracy,train,1142,0.84
accuracy,train,1143,0.87
auc_roc,train,1143,0.8
recall,train,1143,0.93
recall,test,1144,0.83
accuracy,train,1144,0.86
f1,test,1144,0.79
auc_roc,val,1145,0.98
recall,test,1145,0.67
precision,train,1145,0.84
accuracy,val,1146,0.97
accuracy,train,1146,0.83
accuracy,test,1147,0.8
accuracy,val,1147,0.86
log_loss,train,1147,1.16
accuracy,train,1148,0.98
precision,val,1148,0.82
log_loss,train,1148,0.79
auc_roc,val,1149,0.69
log_loss,train,1149,0.23
recall,val,1149,0.93
precision,train,115,0.95
log_loss,train,115,0.82
precision,val,115,0.63
f1,val,1150,0.63
auc_roc,test,1150,0.93
recall,train,1150,0.82
auc_roc,test,1151,0.72
accuracy,train,1151,0.93
precision,train,1151,0.66
recall,test,1152,0.67
log_loss,train,1152,0.96
f1,test,1152,0.86
recall,train,1153,0.72
recall,test,1153,0.86
auc_roc,train,1153,0.85
log_loss,train,1154,1.01
log_loss,val,1154,1.03
precision,test,1154,0.73
precision,val,1155,0.82
accuracy,test,1155,0.94
f1,train,1155,0.61
accuracy,val,1156,0.83
auc_roc,test,1156,0.69
log_loss,val,1156,0.66
accuracy,train,1157,0.83
precision,test,1157,0.88
precision,val,1157,0.79
recall,test,1158,0.98
auc_roc,test,1158,0.68
log_loss,val,1158,1.13
auc_roc,val,1159,0.82
recall,test,1159,0.69
precision,val,1159,0.97
auc_roc,val,116,0.78
accuracy,val,116,0.99
precision,val,116,0.84
log_loss,val,1160,0.77
log_loss,train,1160,1.31
precision,val,1160,0.8
precision,val,1161,0.82
recall,val,1161,0.8
log_loss,val,1161,1.0
recall,test,1162,0.76
precision,train,1162,0.78
accuracy,val,1162,0.93
recall,train,1163,0.94
auc_roc,train,1163,0.92
accuracy,train,1163,0.85
precision,train,1164,0.9
recall,train,1164,0.9
log_loss,test,1165,0.08
recall,val,1165,0.81
f1,val,1165,0.74
recall,train,1166,0.72
f1,val,1166,0.81
accuracy,train,1166,0.8
log_loss,test,1167,1.27
accuracy,train,1167,0.93
f1,train,1167,0.62
f1,train,1168,0.78
auc_roc,test,1168,0.61
precision,train,1168,0.78
recall,test,1169,0.71
log_loss,train,1169,1.32
accuracy,test,1169,0.81
accuracy,val,117,0.95
recall,train,117,0.96
accuracy,test,117,0.82
precision,train,1170,0.97
auc_roc,test,1170,0.78
log_loss,test,1171,0.65
auc_roc,test,1171,0.8
auc_roc,val,1171,0.7
precision,train,1172,0.91
auc_roc,train,1172,0.95
accuracy,train,1172,0.82
auc_roc,test,1173,0.8
log_loss,train,1173,0.13
f1,test,1173,0.93
log_loss,test,1174,1.34
auc_roc,test,1174,0.8
log_loss,train,1175,0.09
recall,train,1175,0.61
precision,train,1175,0.62
accuracy,test,1176,0.81
auc_roc,train,1176,0.74
precision,train,1176,0.8
accuracy,train,1177,0.8
precision,test,1177,0.81
recall,train,1177,0.96
precision,train,1178,0.7
f1,test,1178,0.8
f1,train,1178,0.87
precision,train,1179,0.96
auc_roc,test,1179,0.62
auc_roc,val,118,0.68
accuracy,train,118,0.95
recall,train,118,0.89
log_loss,train,1180,0.21
accuracy,train,1180,0.8
log_loss,val,1180,0.58
f1,train,1181,0.97
precision,val,1181,0.78
log_loss,train,1181,0.55
precision,train,1182,0.89
f1,train,1182,0.85
log_loss,val,1183,0.62
auc_roc,train,1183,0.82
accuracy,train,1183,0.92
accuracy,val,1184,0.94
accuracy,train,1184,0.81
auc_roc,train,1184,0.71
log_loss,train,1185,1.48
recall,test,1185,0.73
auc_roc,val,1185,0.87
recall,test,1186,0.87
auc_roc,test,1186,0.71
accuracy,val,1186,0.82
auc_roc,val,1187,0.78
f1,train,1187,0.75
accuracy,val,1187,0.94
f1,train,1188,0.64
log_loss,train,1188,0.89
accuracy,test,1188,0.96
recall,train,1189,0.73
recall,test,1189,0.92
auc_roc,val,1189,0.78
f1,train,119,0.65
f1,val,1190,0.8
f1,train,1190,0.95
auc_roc,val,1190,0.53
recall,train,1191,0.96
auc_roc,test,1191,0.66
accuracy,val,1191,0.94
precision,train,1192,0.97
precision,val,1192,0.94
f1,train,1192,0.67
recall,test,1193,0.89
auc_roc,train,1193,0.55
accuracy,train,1193,0.91
accuracy,val,1194,0.93
precision,val,1194,0.63
accuracy,train,1195,0.98
log_loss,test,1195,0.46
precision,train,1195,0.76
recall,train,1196,0.92
auc_roc,train,1196,0.52
accuracy,train,1197,0.81
f1,val,1197,0.61
precision,train,1197,0.97
recall,train,1198,0.74
log_loss,val,1198,1.35
f1,test,1198,0.68
log_loss,train,1199,0.71
accuracy,test,1199,0.99
log_loss,test,1199,0.48
accuracy,val,12,0.86
precision,val,12,0.72
recall,val,12,0.89
log_loss,val,120,0.27
auc_roc,test,120,0.61
precision,val,120,0.63
accuracy,train,1200,0.97
log_loss,test,1200,1.46
f1,train,1200,0.82
auc_roc,train,1201,0.94
accuracy,train,1201,0.98
precision,train,1201,0.87
auc_roc,val,1202,0.93
recall,train,1202,0.91
auc_roc,train,1202,0.87
f1,test,1203,0.73
recall,train,1203,0.91
f1,train,1203,0.63
f1,train,1204,0.97
log_loss,train,1204,1.26
auc_roc,train,1204,0.83
log_loss,train,1205,1.45
f1,val,1205,0.81
accuracy,test,1205,0.87
accuracy,train,1206,0.8
precision,train,1206,0.69
auc_roc,test,1206,0.98
log_loss,val,1207,0.75
recall,val,1208,0.98
precision,train,1208,0.87
accuracy,train,1209,0.9
precision,test,1209,0.85
log_loss,train,1209,0.34
accuracy,test,121,0.82
auc_roc,test,121,0.94
auc_roc,val,121,0.74
recall,test,1210,0.67
accuracy,val,1210,0.84
precision,train,1211,0.94
accuracy,train,1211,0.89
log_loss,train,1211,0.38
f1,train,1212,0.68
accuracy,train,1212,0.86
auc_roc,train,1213,0.57
recall,train,1213,0.72
f1,train,1213,0.66
recall,train,1214,0.92
accuracy,train,1215,0.92
precision,train,1215,0.79
f1,train,1215,0.75
precision,train,1216,0.89
auc_roc,val,1216,0.73
log_loss,test,1217,0.73
precision,train,1217,0.76
auc_roc,test,1217,0.55
recall,train,1218,0.78
precision,train,1218,0.8
precision,test,1218,0.76
log_loss,test,1219,0.42
precision,val,1219,0.71
recall,val,1219,0.67
log_loss,train,122,0.52
auc_roc,test,122,0.91
auc_roc,train,122,0.77
f1,train,1220,0.91
precision,train,1220,0.96
recall,test,1220,0.95
auc_roc,train,1221,0.77
recall,test,1221,0.78
log_loss,val,1221,1.47
f1,train,1222,0.86
accuracy,train,1222,0.9
auc_roc,val,1223,0.91
log_loss,test,1223,1.3
precision,train,1223,0.79
precision,train,1224,0.86
auc_roc,val,1224,0.85
accuracy,train,1224,0.91
f1,val,1225,0.82
log_loss,test,1225,1.29
recall,val,1225,0.8
precision,val,1226,0.88
f1,train,1226,0.8
precision,test,1226,0.84
f1,train,1227,0.92
precision,train,1227,0.89
recall,train,1227,0.92
f1,val,1228,0.84
accuracy,train,1228,0.92
log_loss,test,1228,0.36
log_loss,val,1229,0.84
auc_roc,test,1229,0.91
log_loss,train,1229,0.12
recall,train,123,0.96
log_loss,train,1230,1.06
log_loss,test,1230,0.73
accuracy,val,1230,0.96
precision,train,1231,0.67
auc_roc,test,1231,0.94
f1,train,1231,0.88
f1,val,1232,0.97
f1,test,1232,0.65
precision,train,1232,0.93
accuracy,test,1233,0.96
f1,test,1233,0.89
log_loss,test,1233,0.44
log_loss,val,1234,0.46
precision,test,1234,0.79
precision,val,1234,0.94
f1,test,1235,0.73
accuracy,val,1235,0.98
recall,test,1235,0.93
accuracy,train,1236,0.84
f1,val,1236,0.88
log_loss,train,1236,1.25
precision,test,1237,0.62
precision,train,1237,0.66
log_loss,test,1237,1.43
precision,val,1238,0.82
accuracy,train,1238,0.81
f1,test,1238,0.68
recall,train,1239,0.72
f1,train,1239,0.8
accuracy,train,1239,0.97
accuracy,train,124,0.88
recall,test,124,0.93
accuracy,val,124,0.86
f1,test,1240,0.79
precision,train,1240,0.97
accuracy,val,1240,0.96
auc_roc,train,1241,0.93
recall,train,1241,0.6
f1,train,1241,0.84
recall,train,1242,0.98
auc_roc,train,1242,0.79
precision,test,1242,0.83
accuracy,train,1243,0.9
recall,val,1243,0.9
log_loss,train,1243,0.72
recall,train,1244,0.75
auc_roc,train,1244,0.82
f1,val,1244,0.75
f1,val,1245,0.62
f1,train,1245,0.98
log_loss,train,1246,0.14
auc_roc,train,1246,0.77
auc_roc,val,1247,0.92
accuracy,test,1247,0.97
auc_roc,test,1247,0.97
precision,train,1248,0.97
log_loss,test,1248,1.23
precision,val,1248,0.62
log_loss,train,1249,0.84
f1,train,1249,0.75
accuracy,val,1249,0.83
accuracy,val,125,0.92
precision,train,125,0.85
recall,train,125,0.97
auc_roc,val,1250,0.61
accuracy,test,1250,0.82
auc_roc,train,1250,0.9
accuracy,val,1251,0.8
log_loss,train,1251,1.49
recall,test,1251,0.88
f1,train,1252,0.68
precision,train,1252,0.83
log_loss,val,1252,0.12
precision,train,1253,0.7
f1,train,1253,0.78
accuracy,train,1254,0.99
recall,train,1254,0.6
f1,val,1254,0.64
recall,train,1255,0.8
auc_roc,val,1255,0.65
log_loss,train,1255,0.28
accuracy,val,1256,0.94
auc_roc,train,1256,0.66
recall,test,1256,0.67
log_loss,train,1257,0.62
recall,train,1257,0.95
auc_roc,val,1257,0.79
accuracy,val,1258,0.96
accuracy,train,1258,0.95
precision,train,1258,0.94
precision,train,1259,0.82
recall,train,1259,0.83
log_loss,val,1259,1.18
recall,train,126,0.96
recall,test,126,0.71
precision,train,1260,0.88
recall,val,1260,0.85
auc_roc,train,1260,0.56
recall,val,1261,0.93
precision,train,1261,0.77
auc_roc,train,1261,0.53
f1,test,1262,0.87
accuracy,train,1262,0.9
precision,train,1262,0.84
f1,val,1263,0.97
precision,train,1263,0.61
accuracy,test,1263,0.98
recall,train,1264,0.68
f1,val,1264,0.88
accuracy,val,1264,0.83
precision,test,1265,0.88
log_loss,train,1265,0.59
precision,train,1266,0.7
auc_roc,train,1266,0.6
precision,test,1266,0.72
precision,train,1267,0.91
accuracy,test,1267,0.98
f1,val,1267,0.79
accuracy,val,1268,0.9
precision,train,1268,0.9
accuracy,test,1268,0.85
precision,val,1269,0.92
accuracy,val,1269,0.85
auc_roc,train,1269,0.84
f1,train,127,0.89
f1,val,127,0.95
precision,test,1270,0.97
precision,val,1270,0.6
auc_roc,train,1270,0.98
f1,train,1271,0.97
accuracy,test,1271,0.9
recall,train,1272,0.93
recall,test,1272,0.81
accuracy,val,1272,0.96
recall,val,1273,0.8
precision,train,1273,0.91
f1,train,1273,0.67
accuracy,train,1274,0.96
f1,train,1274,0.64
precision,train,1274,0.78
precision,test,1275,0.61
precision,train,1275,0.9
accuracy,test,1276,0.91
recall,test,1276,0.66
auc_roc,test,1276,0.77
f1,train,1277,0.7
log_loss,test,1277,0.69
log_loss,train,1277,0.84
f1,train,1278,0.85
precision,train,1278,0.94
precision,val,1278,0.65
precision,train,1279,0.97
log_loss,val,1279,1.08
f1,train,1279,0.94
accuracy,train,128,0.93
f1,test,128,0.87
precision,val,128,0.9
f1,val,1280,0.65
precision,train,1280,0.66
auc_roc,val,1280,0.72
log_loss,test,1281,1.19
recall,train,1281,0.75
log_loss,val,1281,0.72
log_loss,test,1282,0.74
f1,train,1282,0.91
precision,train,1282,0.63
f1,val,1283,0.61
accuracy,train,1283,0.85
f1,train,1283,0.67
log_loss,train,1284,0.44
f1,val,1284,0.64
recall,val,1285,0.87
log_loss,val,1285,0.92
log_loss,test,1285,1.41
auc_roc,val,1286,0.94
f1,train,1286,0.86
accuracy,train,1286,0.85
f1,train,1287,0.6
precision,train,1287,0.82
auc_roc,train,1287,0.77
recall,test,1288,0.66
recall,train,1288,0.72
recall,val,1288,0.91
auc_roc,test,1289,0.68
f1,train,1289,0.8
accuracy,test,129,0.82
recall,train,129,0.96
accuracy,train,129,0.89
recall,test,1290,0.66
log_loss,test,1290,0.97
auc_roc,val,1290,0.52
log_loss,test,1291,0.68
f1,val,1291,0.67
log_loss,val,1291,0.5
precision,train,1292,0.95
log_loss,train,1292,0.28
recall,test,1292,0.94
log_loss,train,1293,0.99
precision,test,1293,0.67
recall,train,1293,0.67
precision,train,1294,0.75
auc_roc,test,1294,0.67
f1,train,1294,0.62
log_loss,train,1295,1.19
recall,val,1295,0.96
precision,train,1295,0.98
auc_roc,val,1296,0.95
precision,test,1296,0.96
precision,val,1296,0.89
recall,train,1297,0.87
precision,test,1297,0.77
accuracy,test,1297,0.87
auc_roc,test,1298,0.62
log_loss,train,1298,0.97
accuracy,train,1299,0.89
recall,test,1299,0.83
f1,train,1299,0.66
log_loss,val,13,1.49
precision,val,13,0.83
recall,test,13,0.94
log_loss,train,130,1.27
precision,train,130,0.88
auc_roc,train,1300,0.83
f1,train,1300,0.71
log_loss,val,1300,0.65
auc_roc,val,1301,0.6
f1,val,1301,0.96
log_loss,val,1301,0.41
accuracy,train,1302,0.98
accuracy,test,1302,0.97
precision,val,1302,0.87
recall,test,1303,0.86
f1,test,1303,0.81
auc_roc,val,1303,0.56
log_loss,val,1304,0.65
recall,test,1304,0.9
precision,test,1304,0.73
precision,train,1305,0.95
accuracy,train,1305,0.99
f1,val,1305,0.97
accuracy,train,1306,0.82
precision,test,1306,0.6
log_loss,train,1306,1.3
auc_roc,test,1307,0.78
precision,train,1307,0.91
accuracy,test,1307,0.82
precision,train,1308,0.72
log_loss,val,1309,1.42
recall,train,1309,0.68
log_loss,test,1309,0.27
log_loss,val,131,0.7
accuracy,test,131,0.88
log_loss,train,131,0.13
log_loss,train,1310,0.59
accuracy,train,1310,0.96
log_loss,test,1310,0.42
auc_roc,val,1311,0.71
f1,train,1311,0.76
recall,train,1311,0.69
precision,train,1312,0.77
auc_roc,test,1312,0.87
auc_roc,train,1312,0.9
precision,train,1313,0.6
recall,val,1313,0.91
accuracy,train,1313,0.91
precision,val,1314,0.96
log_loss,train,1314,0.58
precision,train,1314,0.79
precision,train,1315,0.7
recall,val,1315,0.73
recall,train,1315,0.83
recall,train,1316,0.78
f1,val,1316,0.92
precision,val,1316,0.96
f1,train,1317,0.74
auc_roc,test,1317,0.52
recall,val,1317,0.62
f1,val,1318,0.85
precision,val,1318,0.9
auc_roc,test,1318,0.61
auc_roc,test,1319,0.66
precision,train,1319,0.94
accuracy,train,132,0.83
precision,val,132,0.62
auc_roc,test,132,0.91
auc_roc,test,1320,0.64
f1,train,1320,0.87
precision,train,1320,0.93
f1,train,1321,0.85
accuracy,train,1321,0.82
log_loss,train,1321,0.95
recall,val,1322,0.79
accuracy,val,1322,0.84
precision,train,1322,0.75
log_loss,test,1323,1.1
accuracy,val,1323,0.9
f1,train,1323,0.93
accuracy,val,1324,0.87
f1,test,1324,0.69
precision,test,1324,0.71
auc_roc,test,1325,0.67
precision,train,1325,0.83
recall,train,1325,0.75
accuracy,test,1326,0.9
precision,train,1326,0.8
precision,test,1326,0.86
precision,val,1327,0.98
accuracy,test,1327,0.89
precision,train,1327,0.93
log_loss,test,1328,0.25
auc_roc,train,1328,0.97
accuracy,train,1328,0.91
accuracy,train,1329,0.96
log_loss,test,1329,1.29
precision,train,1329,0.67
auc_roc,val,133,0.65
precision,test,133,0.86
recall,train,133,0.82
log_loss,test,1330,0.43
accuracy,train,1330,0.9
recall,test,1330,0.64
log_loss,train,1331,0.46
log_loss,val,1331,1.47
f1,val,1331,0.92
precision,test,1332,0.91
log_loss,train,1332,1.16
precision,test,1333,0.74
accuracy,val,1333,0.9
log_loss,train,1333,0.28
precision,val,1334,0.7
log_loss,test,1334,0.99
recall,train,1334,0.79
f1,val,1335,0.61
accuracy,train,1335,0.96
precision,val,1335,0.78
f1,val,1336,0.95
accuracy,train,1336,0.84
recall,val,1337,0.71
