id_modelo,fecha_creacion,path_artefacto,stage,framework,algoritmo,id_run
476,2024-09-18 08:07:22,/artifacts/run_462/model.joblib,Evaluation,CatBoost,Gaussian Mixture,462
486,2024-09-18 09:15:53,/artifacts/run_1494/model.joblib,Evaluation,CatBoost,Naive Bayes,1494
487,2024-09-18 09:23:49,/artifacts/run_1469/weights.h5,Monitoring,CatBoost,DBSCAN,1469
498,2024-09-18 10:13:16,/artifacts/run_828/model.onnx,Monitoring,CatBoost,Naive Bayes,828
505,2024-09-18 10:44:07,/artifacts/run_476/model.joblib,Monitoring,CatBoost,QDA,476
516,2024-09-18 11:46:46,/artifacts/run_1069/model.pkl,Deployment,CatBoost,Random Forest,1069
525,2024-09-18 12:29:53,/artifacts/run_115/model.onnx,Development,CatBoost,Gaussian Mixture,115
540,2024-09-18 13:53:14,/artifacts/run_186/model.joblib,Monitoring,CatBoost,K-Nearest Neighbors,186
545,2024-09-18 14:32:14,/artifacts/run_572/model.onnx,Monitoring,CatBoost,Gaussian Mixture,572
554,2024-09-18 15:21:39,/artifacts/run_561/weights.h5,Evaluation,CatBoost,Naive Bayes,561
564,2024-09-18 16:03:34,/artifacts/run_62/model.onnx,Development,CatBoost,K-Nearest Neighbors,62
576,2024-09-18 17:00:17,/artifacts/run_1014/weights.h5,Deployment,CatBoost,DBSCAN,1014
579,2024-09-18 17:09:32,/artifacts/run_836/weights.h5,Evaluation,CatBoost,KMeans,836
589,2024-09-18 18:02:19,/artifacts/run_525/weights.h5,Evaluation,CatBoost,DBSCAN,525
601,2024-09-18 18:57:09,/artifacts/run_230/model.pkl,Monitoring,CatBoost,Naive Bayes,230
606,2024-09-18 19:23:49,/artifacts/run_687/model.pkl,Deployment,CatBoost,DBSCAN,687
617,2024-09-18 20:17:26,/artifacts/run_372/weights.h5,Monitoring,CatBoost,DBSCAN,372
625,2024-09-18 20:50:14,/artifacts/run_251/weights.h5,Evaluation,CatBoost,Decision Tree,251
631,2024-09-18 21:19:35,/artifacts/run_246/model.joblib,Development,CatBoost,LDA,246
642,2024-09-18 22:34:37,/artifacts/run_1375/model.joblib,Evaluation,CatBoost,Decision Tree,1375
656,2024-09-18 23:54:26,/artifacts/run_654/model.joblib,Monitoring,CatBoost,KMeans,654
658,2024-09-19 00:01:05,/artifacts/run_582/model.pkl,Monitoring,CatBoost,Logistic Regression,582
671,2024-09-19 01:12:43,/artifacts/run_93/weights.h5,Deployment,CatBoost,Neural Network,93
676,2024-09-19 01:46:37,/artifacts/run_208/model.joblib,Deployment,CatBoost,CatBoost,208
690,2024-09-19 03:12:59,/artifacts/run_440/model.onnx,Deployment,CatBoost,Logistic Regression,440
694,2024-09-19 03:26:35,/artifacts/run_591/weights.h5,Development,CatBoost,Random Forest,591
707,2024-09-19 04:56:24,/artifacts/run_199/model.joblib,Monitoring,CatBoost,K-Nearest Neighbors,199
713,2024-09-19 05:29:38,/artifacts/run_780/model.onnx,Monitoring,CatBoost,QDA,780
724,2024-09-19 06:27:09,/artifacts/run_6/weights.h5,Evaluation,CatBoost,LightGBM,6
734,2024-09-19 07:15:47,/artifacts/run_1003/weights.h5,Evaluation,CatBoost,QDA,1003
743,2024-09-19 08:06:16,/artifacts/run_1251/model.onnx,Monitoring,CatBoost,DBSCAN,1251
752,2024-09-19 08:53:20,/artifacts/run_1330/model.onnx,Evaluation,CatBoost,Neural Network,1330
764,2024-09-19 10:12:11,/artifacts/run_407/model.onnx,Development,CatBoost,Support Vector Machine,407
767,2024-09-19 10:25:15,/artifacts/run_574/model.joblib,Monitoring,CatBoost,Gradient Boosting,574
775,2024-09-19 11:19:13,/artifacts/run_450/model.onnx,Deployment,CatBoost,CatBoost,450
790,2024-09-19 12:37:04,/artifacts/run_51/model.pkl,Development,CatBoost,Logistic Regression,51
800,2024-09-19 13:42:22,/artifacts/run_1453/weights.h5,Evaluation,CatBoost,Naive Bayes,1453
803,2024-09-19 13:50:29,/artifacts/run_111/weights.h5,Monitoring,CatBoost,Neural Network,111
815,2024-09-19 15:01:11,/artifacts/run_381/model.pkl,Monitoring,CatBoost,Naive Bayes,381
825,2024-09-19 15:52:29,/artifacts/run_284/model.pkl,Evaluation,CatBoost,LDA,284
830,2024-09-19 16:16:09,/artifacts/run_163/model.joblib,Development,CatBoost,Support Vector Machine,163
843,2024-09-19 17:16:20,/artifacts/run_919/weights.h5,Monitoring,CatBoost,Random Forest,919
850,2024-09-19 17:53:44,/artifacts/run_410/weights.h5,Monitoring,CatBoost,LDA,410
856,2024-09-19 18:36:51,/artifacts/run_1481/model.joblib,Deployment,CatBoost,KMeans,1481
871,2024-09-19 19:57:59,/artifacts/run_1093/model.pkl,Deployment,CatBoost,LDA,1093
874,2024-09-19 20:12:47,/artifacts/run_702/model.joblib,Monitoring,CatBoost,CatBoost,702
884,2024-09-19 21:18:20,/artifacts/run_1233/model.joblib,Evaluation,CatBoost,Gradient Boosting,1233
896,2024-09-19 22:10:00,/artifacts/run_344/model.onnx,Evaluation,CatBoost,Neural Network,344
907,2024-09-19 23:00:16,/artifacts/run_958/model.joblib,Development,CatBoost,Gaussian Mixture,958
916,2024-09-19 23:58:33,/artifacts/run_1088/model.pkl,Deployment,CatBoost,DBSCAN,1088
926,2024-09-20 00:44:37,/artifacts/run_895/weights.h5,Deployment,CatBoost,KMeans,895
933,2024-09-20 01:21:55,/artifacts/run_669/model.joblib,Development,CatBoost,DBSCAN,669
940,2024-09-20 01:57:22,/artifacts/run_453/weights.h5,Evaluation,CatBoost,QDA,453
951,2024-09-20 02:56:46,/artifacts/run_1091/weights.h5,Deployment,CatBoost,Random Forest,1091
957,2024-09-20 03:25:14,/artifacts/run_1480/weights.h5,Deployment,CatBoost,Decision Tree,1480
970,2024-09-20 04:49:27,/artifacts/run_369/model.onnx,Development,CatBoost,K-Nearest Neighbors,369
978,2024-09-20 05:49:01,/artifacts/run_1241/model.pkl,Evaluation,CatBoost,Naive Bayes,1241
982,2024-09-20 06:08:50,/artifacts/run_343/model.onnx,Development,CatBoost,Gaussian Mixture,343
999,2024-09-20 07:33:36,/artifacts/run_565/model.onnx,Monitoring,CatBoost,KMeans,565
5,2024-09-16 12:06:26,/artifacts/run_853/model.pkl,Monitoring,Keras,LightGBM,853
17,2024-09-16 13:29:13,/artifacts/run_599/model.pkl,Monitoring,Keras,DBSCAN,599
24,2024-09-16 14:03:10,/artifacts/run_275/model.onnx,Deployment,Keras,CatBoost,275
34,2024-09-16 14:53:42,/artifacts/run_906/model.joblib,Monitoring,Keras,Decision Tree,906
43,2024-09-16 15:44:19,/artifacts/run_932/model.pkl,Evaluation,Keras,K-Nearest Neighbors,932
54,2024-09-16 17:03:32,/artifacts/run_503/model.onnx,Development,Keras,K-Nearest Neighbors,503
61,2024-09-16 17:37:27,/artifacts/run_129/model.joblib,Evaluation,Keras,DBSCAN,129
64,2024-09-16 17:54:04,/artifacts/run_1123/model.onnx,Development,Keras,LDA,1123
73,2024-09-16 18:43:50,/artifacts/run_393/model.onnx,Development,Keras,KMeans,393
85,2024-09-16 19:41:01,/artifacts/run_1370/weights.h5,Monitoring,Keras,LightGBM,1370
97,2024-09-16 20:51:34,/artifacts/run_826/model.pkl,Evaluation,Keras,Random Forest,826
106,2024-09-16 21:43:02,/artifacts/run_296/weights.h5,Evaluation,Keras,KMeans,296
116,2024-09-16 22:58:09,/artifacts/run_266/weights.h5,Evaluation,Keras,Decision Tree,266
126,2024-09-16 23:59:20,/artifacts/run_610/model.joblib,Monitoring,Keras,Gaussian Mixture,610
135,2024-09-17 00:55:30,/artifacts/run_1142/model.pkl,Monitoring,Keras,CatBoost,1142
143,2024-09-17 01:40:03,/artifacts/run_1473/model.joblib,Development,Keras,LDA,1473
152,2024-09-17 02:29:58,/artifacts/run_994/weights.h5,Deployment,Keras,Decision Tree,994
160,2024-09-17 02:58:27,/artifacts/run_30/model.onnx,Evaluation,Keras,Random Forest,30
169,2024-09-17 04:01:39,/artifacts/run_426/model.pkl,Development,Keras,DBSCAN,426
172,2024-09-17 04:17:29,/artifacts/run_235/model.joblib,Deployment,Keras,LDA,235
188,2024-09-17 05:51:26,/artifacts/run_179/model.pkl,Monitoring,Keras,DBSCAN,179
192,2024-09-17 06:08:41,/artifacts/run_384/weights.h5,Development,Keras,Gaussian Mixture,384
203,2024-09-17 07:04:40,/artifacts/run_104/weights.h5,Monitoring,Keras,CatBoost,104
215,2024-09-17 08:18:27,/artifacts/run_877/model.pkl,Development,Keras,KMeans,877
223,2024-09-17 09:06:05,/artifacts/run_280/model.onnx,Evaluation,Keras,K-Nearest Neighbors,280
234,2024-09-17 10:03:24,/artifacts/run_771/model.onnx,Monitoring,Keras,XGBoost,771
240,2024-09-17 10:38:49,/artifacts/run_1075/model.pkl,Deployment,Keras,Neural Network,1075
249,2024-09-17 11:28:57,/artifacts/run_260/model.pkl,Evaluation,Keras,Logistic Regression,260
260,2024-09-17 12:39:47,/artifacts/run_635/model.joblib,Evaluation,Keras,LightGBM,635
266,2024-09-17 13:12:31,/artifacts/run_911/model.pkl,Deployment,Keras,K-Nearest Neighbors,911
273,2024-09-17 13:53:03,/artifacts/run_1316/model.pkl,Evaluation,Keras,DBSCAN,1316
282,2024-09-17 14:41:47,/artifacts/run_92/model.pkl,Evaluation,Keras,Neural Network,92
292,2024-09-17 15:36:29,/artifacts/run_1354/weights.h5,Development,Keras,Support Vector Machine,1354
299,2024-09-17 16:13:28,/artifacts/run_717/model.joblib,Deployment,Keras,Naive Bayes,717
308,2024-09-17 16:55:39,/artifacts/run_778/model.pkl,Development,Keras,KMeans,778
318,2024-09-17 17:46:47,/artifacts/run_1178/model.pkl,Development,Keras,K-Nearest Neighbors,1178
332,2024-09-17 19:11:32,/artifacts/run_1464/model.pkl,Development,Keras,Gradient Boosting,1464
334,2024-09-17 19:24:51,/artifacts/run_1324/model.pkl,Deployment,Keras,K-Nearest Neighbors,1324
350,2024-09-17 20:36:13,/artifacts/run_200/model.pkl,Deployment,Keras,XGBoost,200
352,2024-09-17 20:47:46,/artifacts/run_419/model.onnx,Evaluation,Keras,Naive Bayes,419
366,2024-09-17 22:00:59,/artifacts/run_846/weights.h5,Evaluation,Keras,Random Forest,846
376,2024-09-17 23:03:44,/artifacts/run_327/model.onnx,Deployment,Keras,Gradient Boosting,327
381,2024-09-17 23:24:30,/artifacts/run_1356/model.pkl,Evaluation,Keras,KMeans,1356
396,2024-09-18 00:50:45,/artifacts/run_492/model.pkl,Deployment,Keras,Support Vector Machine,492
397,2024-09-18 00:59:57,/artifacts/run_1145/model.joblib,Development,Keras,K-Nearest Neighbors,1145
407,2024-09-18 02:01:40,/artifacts/run_210/model.joblib,Evaluation,Keras,LDA,210
422,2024-09-18 03:24:46,/artifacts/run_851/model.onnx,Deployment,Keras,KMeans,851
426,2024-09-18 03:43:54,/artifacts/run_451/weights.h5,Evaluation,Keras,Logistic Regression,451
433,2024-09-18 04:12:30,/artifacts/run_1227/model.onnx,Deployment,Keras,Logistic Regression,1227
444,2024-09-18 05:27:39,/artifacts/run_1280/model.onnx,Deployment,Keras,Naive Bayes,1280
451,2024-09-18 06:09:36,/artifacts/run_1417/model.pkl,Evaluation,Keras,KMeans,1417
462,2024-09-18 07:13:47,/artifacts/run_1306/model.joblib,Development,Keras,DBSCAN,1306
471,2024-09-18 07:46:35,/artifacts/run_569/weights.h5,Monitoring,Keras,CatBoost,569
481,2024-09-18 08:33:47,/artifacts/run_662/model.joblib,Monitoring,Keras,KMeans,662
493,2024-09-18 09:45:51,/artifacts/run_1029/weights.h5,Deployment,Keras,Decision Tree,1029
502,2024-09-18 10:33:41,/artifacts/run_1215/model.pkl,Monitoring,Keras,CatBoost,1215
507,2024-09-18 11:01:28,/artifacts/run_884/weights.h5,Deployment,Keras,Logistic Regression,884
520,2024-09-18 12:00:55,/artifacts/run_436/model.joblib,Deployment,Keras,CatBoost,436
527,2024-09-18 12:38:24,/artifacts/run_640/weights.h5,Monitoring,Keras,DBSCAN,640
532,2024-09-18 13:04:40,/artifacts/run_627/model.joblib,Deployment,Keras,Logistic Regression,627
542,2024-09-18 14:11:07,/artifacts/run_988/model.onnx,Evaluation,Keras,Decision Tree,988
558,2024-09-18 15:33:32,/artifacts/run_1213/model.pkl,Development,Keras,CatBoost,1213
565,2024-09-18 16:06:27,/artifacts/run_292/model.onnx,Monitoring,Keras,Gradient Boosting,292
570,2024-09-18 16:28:38,/artifacts/run_571/weights.h5,Evaluation,Keras,KMeans,571
580,2024-09-18 17:16:29,/artifacts/run_379/model.joblib,Monitoring,Keras,XGBoost,379
590,2024-09-18 18:06:21,/artifacts/run_1242/model.onnx,Development,Keras,Logistic Regression,1242
602,2024-09-18 19:04:53,/artifacts/run_18/model.onnx,Evaluation,Keras,Logistic Regression,18
610,2024-09-18 19:38:33,/artifacts/run_704/model.pkl,Evaluation,Keras,Decision Tree,704
618,2024-09-18 20:21:18,/artifacts/run_615/model.joblib,Evaluation,Keras,Logistic Regression,615
628,2024-09-18 21:02:28,/artifacts/run_497/model.onnx,Deployment,Keras,Naive Bayes,497
637,2024-09-18 21:54:12,/artifacts/run_557/model.onnx,Development,Keras,CatBoost,557
643,2024-09-18 22:37:15,/artifacts/run_673/model.onnx,Monitoring,Keras,Logistic Regression,673
649,2024-09-18 23:19:26,/artifacts/run_998/weights.h5,Deployment,Keras,Neural Network,998
661,2024-09-19 00:19:51,/artifacts/run_400/weights.h5,Development,Keras,KMeans,400
672,2024-09-19 01:22:06,/artifacts/run_207/model.pkl,Evaluation,Keras,LDA,207
682,2024-09-19 02:21:07,/artifacts/run_1386/model.joblib,Monitoring,Keras,XGBoost,1386
692,2024-09-19 03:20:25,/artifacts/run_308/weights.h5,Monitoring,Keras,LDA,308
700,2024-09-19 04:00:50,/artifacts/run_370/model.onnx,Evaluation,Keras,Naive Bayes,370
709,2024-09-19 05:08:11,/artifacts/run_107/model.joblib,Development,Keras,Support Vector Machine,107
714,2024-09-19 05:30:51,/artifacts/run_1358/weights.h5,Development,Keras,LDA,1358
728,2024-09-19 06:47:49,/artifacts/run_394/model.onnx,Deployment,Keras,CatBoost,394
738,2024-09-19 07:39:25,/artifacts/run_264/model.onnx,Deployment,Keras,K-Nearest Neighbors,264
746,2024-09-19 08:21:41,/artifacts/run_1426/model.joblib,Deployment,Keras,Naive Bayes,1426
756,2024-09-19 09:24:26,/artifacts/run_416/model.pkl,Deployment,Keras,KMeans,416
758,2024-09-19 09:37:51,/artifacts/run_1443/weights.h5,Monitoring,Keras,LDA,1443
768,2024-09-19 10:31:21,/artifacts/run_1421/model.pkl,Development,Keras,Random Forest,1421
776,2024-09-19 11:28:32,/artifacts/run_282/model.onnx,Development,Keras,Support Vector Machine,282
791,2024-09-19 12:41:55,/artifacts/run_1285/model.onnx,Deployment,Keras,Gaussian Mixture,1285
801,2024-09-19 13:45:27,/artifacts/run_226/model.onnx,Development,Keras,KMeans,226
809,2024-09-19 14:25:59,/artifacts/run_1377/model.joblib,Monitoring,Keras,K-Nearest Neighbors,1377
817,2024-09-19 15:11:23,/artifacts/run_608/model.pkl,Deployment,Keras,LightGBM,608
828,2024-09-19 16:08:41,/artifacts/run_666/model.pkl,Development,Keras,Decision Tree,666
831,2024-09-19 16:21:54,/artifacts/run_1156/model.joblib,Deployment,Keras,KMeans,1156
838,2024-09-19 16:59:28,/artifacts/run_42/model.pkl,Development,Keras,Decision Tree,42
854,2024-09-19 18:22:50,/artifacts/run_527/weights.h5,Evaluation,Keras,Gaussian Mixture,527
858,2024-09-19 18:53:15,/artifacts/run_1153/model.joblib,Deployment,Keras,XGBoost,1153
866,2024-09-19 19:32:24,/artifacts/run_837/model.onnx,Deployment,Keras,Support Vector Machine,837
880,2024-09-19 20:55:47,/artifacts/run_1099/model.pkl,Evaluation,Keras,XGBoost,1099
888,2024-09-19 21:40:17,/artifacts/run_942/model.onnx,Evaluation,Keras,KMeans,942
900,2024-09-19 22:23:22,/artifacts/run_1240/model.pkl,Evaluation,Keras,Support Vector Machine,1240
901,2024-09-19 22:25:36,/artifacts/run_805/model.pkl,Evaluation,Keras,DBSCAN,805
917,2024-09-20 00:01:35,/artifacts/run_1406/model.onnx,Evaluation,Keras,Logistic Regression,1406
919,2024-09-20 00:07:45,/artifacts/run_719/model.joblib,Deployment,Keras,Random Forest,719
928,2024-09-20 00:52:53,/artifacts/run_1258/model.onnx,Evaluation,Keras,CatBoost,1258
942,2024-09-20 02:13:53,/artifacts/run_1232/weights.h5,Deployment,Keras,Support Vector Machine,1232
946,2024-09-20 02:36:49,/artifacts/run_1136/weights.h5,Development,Keras,Logistic Regression,1136
963,2024-09-20 04:13:08,/artifacts/run_247/model.onnx,Deployment,Keras,Support Vector Machine,247
967,2024-09-20 04:35:52,/artifacts/run_223/model.joblib,Deployment,Keras,Logistic Regression,223
975,2024-09-20 05:31:26,/artifacts/run_46/weights.h5,Development,Keras,LDA,46
988,2024-09-20 06:42:12,/artifacts/run_1193/weights.h5,Deployment,Keras,Decision Tree,1193
994,2024-09-20 07:10:51,/artifacts/run_880/weights.h5,Development,Keras,K-Nearest Neighbors,880
4,2024-09-16 12:02:55,/artifacts/run_917/model.joblib,Evaluation,LightGBM,Gradient Boosting,917
12,2024-09-16 12:49:45,/artifacts/run_643/model.joblib,Monitoring,LightGBM,KMeans,643
27,2024-09-16 14:21:56,/artifacts/run_1020/model.onnx,Evaluation,LightGBM,QDA,1020
36,2024-09-16 15:09:28,/artifacts/run_145/weights.h5,Deployment,LightGBM,Random Forest,145
45,2024-09-16 16:00:01,/artifacts/run_793/model.pkl,Monitoring,LightGBM,Gradient Boosting,793
48,2024-09-16 16:25:45,/artifacts/run_758/weights.h5,Evaluation,LightGBM,KMeans,758
55,2024-09-16 17:05:50,/artifacts/run_1073/model.pkl,Deployment,LightGBM,QDA,1073
66,2024-09-16 18:00:18,/artifacts/run_1121/weights.h5,Monitoring,LightGBM,Random Forest,1121
78,2024-09-16 19:04:27,/artifacts/run_842/model.onnx,Evaluation,LightGBM,Neural Network,842
88,2024-09-16 19:57:44,/artifacts/run_819/model.onnx,Evaluation,LightGBM,Decision Tree,819
92,2024-09-16 20:20:19,/artifacts/run_214/weights.h5,Monitoring,LightGBM,KMeans,214
102,2024-09-16 21:21:07,/artifacts/run_1490/weights.h5,Deployment,LightGBM,Decision Tree,1490
109,2024-09-16 22:05:25,/artifacts/run_488/model.pkl,Development,LightGBM,DBSCAN,488
125,2024-09-16 23:53:11,/artifacts/run_1239/model.onnx,Development,LightGBM,KMeans,1239
128,2024-09-17 00:12:57,/artifacts/run_1268/model.onnx,Deployment,LightGBM,Neural Network,1268
139,2024-09-17 01:13:32,/artifacts/run_1149/model.onnx,Monitoring,LightGBM,Gradient Boosting,1149
147,2024-09-17 02:00:31,/artifacts/run_456/model.pkl,Development,LightGBM,Neural Network,456
159,2024-09-17 02:52:48,/artifacts/run_75/model.onnx,Deployment,LightGBM,Support Vector Machine,75
171,2024-09-17 04:11:05,/artifacts/run_267/weights.h5,Evaluation,LightGBM,XGBoost,267
176,2024-09-17 04:46:33,/artifacts/run_417/weights.h5,Monitoring,LightGBM,LightGBM,417
181,2024-09-17 05:08:44,/artifacts/run_29/weights.h5,Development,LightGBM,K-Nearest Neighbors,29
195,2024-09-17 06:21:14,/artifacts/run_209/model.onnx,Monitoring,LightGBM,Naive Bayes,209
206,2024-09-17 07:15:28,/artifacts/run_589/weights.h5,Deployment,LightGBM,Support Vector Machine,589
211,2024-09-17 07:49:56,/artifacts/run_773/model.pkl,Evaluation,LightGBM,Decision Tree,773
222,2024-09-17 08:56:28,/artifacts/run_948/model.joblib,Development,LightGBM,Random Forest,948
226,2024-09-17 09:23:39,/artifacts/run_1303/model.joblib,Monitoring,LightGBM,K-Nearest Neighbors,1303
236,2024-09-17 10:17:23,/artifacts/run_1209/model.pkl,Deployment,LightGBM,Naive Bayes,1209
250,2024-09-17 11:37:53,/artifacts/run_353/model.onnx,Monitoring,LightGBM,Support Vector Machine,353
261,2024-09-17 12:43:47,/artifacts/run_1410/model.onnx,Development,LightGBM,Logistic Regression,1410
267,2024-09-17 13:18:04,/artifacts/run_624/model.pkl,Development,LightGBM,Gaussian Mixture,624
275,2024-09-17 14:05:02,/artifacts/run_507/model.joblib,Development,LightGBM,LDA,507
281,2024-09-17 14:36:17,/artifacts/run_1422/model.onnx,Monitoring,LightGBM,Gradient Boosting,1422
297,2024-09-17 16:07:45,/artifacts/run_700/weights.h5,Monitoring,LightGBM,LDA,700
298,2024-09-17 16:11:56,/artifacts/run_224/model.pkl,Evaluation,LightGBM,Random Forest,224
312,2024-09-17 17:13:37,/artifacts/run_169/model.joblib,Evaluation,LightGBM,Naive Bayes,169
320,2024-09-17 17:57:58,/artifacts/run_1032/model.joblib,Monitoring,LightGBM,Gradient Boosting,1032
328,2024-09-17 18:51:29,/artifacts/run_883/model.onnx,Deployment,LightGBM,Naive Bayes,883
337,2024-09-17 19:46:42,/artifacts/run_886/model.pkl,Deployment,LightGBM,Gaussian Mixture,886
344,2024-09-17 20:16:25,/artifacts/run_1254/weights.h5,Evaluation,LightGBM,CatBoost,1254
355,2024-09-17 21:01:56,/artifacts/run_1033/model.onnx,Development,LightGBM,XGBoost,1033
365,2024-09-17 21:51:57,/artifacts/run_1140/model.onnx,Development,LightGBM,CatBoost,1140
370,2024-09-17 22:26:26,/artifacts/run_17/weights.h5,Monitoring,LightGBM,Naive Bayes,17
380,2024-09-17 23:15:23,/artifacts/run_219/model.pkl,Development,LightGBM,LDA,219
392,2024-09-18 00:30:10,/artifacts/run_755/model.pkl,Deployment,LightGBM,QDA,755
402,2024-09-18 01:33:28,/artifacts/run_1086/weights.h5,Development,LightGBM,Support Vector Machine,1086
412,2024-09-18 02:38:52,/artifacts/run_811/weights.h5,Monitoring,LightGBM,KMeans,811
416,2024-09-18 03:01:51,/artifacts/run_120/model.pkl,Monitoring,LightGBM,Logistic Regression,120
428,2024-09-18 03:53:05,/artifacts/run_592/model.onnx,Deployment,LightGBM,Support Vector Machine,592
435,2024-09-18 04:24:38,/artifacts/run_434/weights.h5,Monitoring,LightGBM,K-Nearest Neighbors,434
449,2024-09-18 05:52:43,/artifacts/run_546/model.joblib,Development,LightGBM,CatBoost,546
453,2024-09-18 06:20:36,/artifacts/run_815/model.joblib,Monitoring,LightGBM,Decision Tree,815
