nombre_hp,id_run,valor_json,dtype
max_depth,760,"{""value"": 5}",int
num_epochs,955,"{""value"": 76}",int
hidden_size,102,"{""value"": 256}",int
weight_decay,675,"{""value"": 0.00578}",float
momentum,1214,"{""value"": 0.67}",float
learning_rate,300,"{""value"": 0.00174}",float
weight_decay,671,"{""value"": 0.00285}",float
random_seed,132,"{""value"": 14723}",int
batch_size,864,"{""value"": 32}",int
hidden_size,961,"{""value"": 512}",int
colsample_bytree,342,"{""value"": 0.69}",float
regularization_lambda,1406,"{""value"": 0.40}",float
min_samples_split,306,"{""value"": 20}",int
loss_function,445,"{""value"": ""mse""}",enum
max_depth,869,"{""value"": 3}",int
num_epochs,70,"{""value"": 88}",int
activation,15,"{""value"": ""relu""}",enum
momentum,1389,"{""value"": 0.22}",float
subsample,186,"{""value"": 0.88}",float
patience,148,"{""value"": 18}",int
min_samples_leaf,296,"{""value"": 2}",int
dropout,368,"{""value"": 0.51}",float
optimizer,1014,"{""value"": ""adamw""}",enum
num_layers,965,"{""value"": 5}",int
early_stopping_rounds,920,"{""value"": 50}",int
num_epochs,431,"{""value"": 86}",int
batch_size,10,"{""value"": 256}",int
subsample,1237,"{""value"": 0.98}",float
patience,748,"{""value"": 18}",int
loss_function,664,"{""value"": ""mse""}",enum
random_seed,604,"{""value"": 10011}",int
optimizer,982,"{""value"": ""sgd""}",enum
colsample_bytree,633,"{""value"": 0.97}",float
momentum,1282,"{""value"": 0.92}",float
learning_rate,1380,"{""value"": 0.00899}",float
num_layers,1123,"{""value"": 8}",int
early_stopping_rounds,574,"{""value"": 27}",int
max_depth,317,"{""value"": 14}",int
dropout,1480,"{""value"": 0.23}",float
activation,930,"{""value"": ""sigmoid""}",enum
hidden_size,1312,"{""value"": 512}",int
weight_decay,228,"{""value"": 0.00788}",float
regularization_lambda,395,"{""value"": 0.95}",float
min_samples_leaf,1403,"{""value"": 9}",int
min_samples_split,316,"{""value"": 18}",int
weight_decay,469,"{""value"": 0.00148}",float
num_layers,1464,"{""value"": 1}",int
colsample_bytree,71,"{""value"": 0.70}",float
activation,1450,"{""value"": ""gelu""}",enum
early_stopping_rounds,425,"{""value"": 27}",int
hidden_size,1211,"{""value"": 64}",int
optimizer,1481,"{""value"": ""adamw""}",enum
regularization_lambda,1316,"{""value"": 0.77}",float
min_samples_split,1354,"{""value"": 15}",int
momentum,1360,"{""value"": 0.28}",float
max_depth,823,"{""value"": 21}",int
min_samples_leaf,62,"{""value"": 1}",int
batch_size,877,"{""value"": 32}",int
patience,802,"{""value"": 7}",int
dropout,352,"{""value"": 0.46}",float
num_epochs,900,"{""value"": 89}",int
subsample,1425,"{""value"": 0.78}",float
loss_function,1141,"{""value"": ""mse""}",enum
learning_rate,353,"{""value"": 0.00446}",float
random_seed,1394,"{""value"": 29186}",int
max_depth,268,"{""value"": 3}",int
batch_size,749,"{""value"": 64}",int
early_stopping_rounds,1355,"{""value"": 41}",int
hidden_size,538,"{""value"": 32}",int
dropout,146,"{""value"": 0.25}",float
min_samples_split,876,"{""value"": 3}",int
num_layers,656,"{""value"": 9}",int
num_epochs,702,"{""value"": 119}",int
momentum,1469,"{""value"": 0.11}",float
subsample,1271,"{""value"": 0.64}",float
loss_function,1120,"{""value"": ""mse""}",enum
min_samples_leaf,546,"{""value"": 5}",int
weight_decay,443,"{""value"": 0.00850}",float
activation,1181,"{""value"": ""gelu""}",enum
regularization_lambda,485,"{""value"": 0.05}",float
optimizer,1198,"{""value"": ""sgd""}",enum
random_seed,233,"{""value"": 29591}",int
learning_rate,438,"{""value"": 0.00350}",float
colsample_bytree,951,"{""value"": 0.56}",float
patience,213,"{""value"": 15}",int
patience,486,"{""value"": 16}",int
min_samples_leaf,572,"{""value"": 10}",int
dropout,1114,"{""value"": 0.38}",float
optimizer,517,"{""value"": ""sgd""}",enum
num_layers,1364,"{""value"": 2}",int
early_stopping_rounds,528,"{""value"": 34}",int
learning_rate,954,"{""value"": 0.00209}",float
weight_decay,530,"{""value"": 0.00957}",float
random_seed,1049,"{""value"": 81042}",int
batch_size,276,"{""value"": 64}",int
hidden_size,1274,"{""value"": 256}",int
colsample_bytree,246,"{""value"": 0.82}",float
regularization_lambda,451,"{""value"": 0.74}",float
min_samples_split,1442,"{""value"": 19}",int
loss_function,1369,"{""value"": ""cross_entropy""}",enum
max_depth,588,"{""value"": 19}",int
num_epochs,1474,"{""value"": 160}",int
activation,967,"{""value"": ""selu""}",enum
momentum,1446,"{""value"": 0.88}",float
subsample,924,"{""value"": 0.60}",float
min_samples_split,1131,"{""value"": 19}",int
learning_rate,234,"{""value"": 0.00501}",float
weight_decay,1089,"{""value"": 0.00683}",float
activation,620,"{""value"": ""gelu""}",enum
subsample,875,"{""value"": 0.92}",float
hidden_size,1340,"{""value"": 16}",int
min_samples_leaf,1017,"{""value"": 2}",int
max_depth,780,"{""value"": 24}",int
optimizer,65,"{""value"": ""adamw""}",enum
batch_size,125,"{""value"": 256}",int
early_stopping_rounds,975,"{""value"": 50}",int
loss_function,560,"{""value"": ""mse""}",enum
dropout,1043,"{""value"": 0.35}",float
num_epochs,505,"{""value"": 135}",int
momentum,942,"{""value"": 0.02}",float
random_seed,527,"{""value"": 4464}",int
colsample_bytree,8,"{""value"": 0.62}",float
regularization_lambda,452,"{""value"": 0.03}",float
num_layers,889,"{""value"": 8}",int
patience,1148,"{""value"": 3}",int
min_samples_leaf,1051,"{""value"": 5}",int
num_epochs,1060,"{""value"": 148}",int
regularization_lambda,1208,"{""value"": 0.63}",float
random_seed,1279,"{""value"": 99131}",int
max_depth,808,"{""value"": 11}",int
min_samples_split,501,"{""value"": 10}",int
weight_decay,680,"{""value"": 0.00979}",float
activation,1187,"{""value"": ""tanh""}",enum
momentum,548,"{""value"": 0.46}",float
patience,69,"{""value"": 18}",int
learning_rate,1008,"{""value"": 0.00285}",float
optimizer,1039,"{""value"": ""adam""}",enum
batch_size,129,"{""value"": 16}",int
subsample,1158,"{""value"": 0.63}",float
dropout,773,"{""value"": 0.47}",float
hidden_size,902,"{""value"": 64}",int
colsample_bytree,1020,"{""value"": 0.50}",float
loss_function,729,"{""value"": ""mae""}",enum
num_layers,1478,"{""value"": 6}",int
early_stopping_rounds,743,"{""value"": 37}",int
patience,257,"{""value"": 14}",int
loss_function,376,"{""value"": ""mae""}",enum
random_seed,9,"{""value"": 58857}",int
optimizer,429,"{""value"": ""adamw""}",enum
colsample_bytree,493,"{""value"": 0.91}",float
momentum,282,"{""value"": 0.03}",float
learning_rate,870,"{""value"": 0.00936}",float
num_layers,1238,"{""value"": 8}",int
early_stopping_rounds,968,"{""value"": 10}",int
max_depth,730,"{""value"": 16}",int
dropout,1415,"{""value"": 0.42}",float
activation,187,"{""value"": ""selu""}",enum
hidden_size,812,"{""value"": 64}",int
weight_decay,921,"{""value"": 0.00139}",float
regularization_lambda,541,"{""value"": 0.93}",float
min_samples_leaf,1253,"{""value"": 1}",int
min_samples_split,1078,"{""value"": 2}",int
num_epochs,1162,"{""value"": 139}",int
batch_size,1246,"{""value"": 256}",int
subsample,984,"{""value"": 0.54}",float
activation,305,"{""value"": ""gelu""}",enum
early_stopping_rounds,923,"{""value"": 32}",int
hidden_size,312,"{""value"": 256}",int
optimizer,1500,"{""value"": ""adamw""}",enum
regularization_lambda,969,"{""value"": 0.88}",float
min_samples_split,481,"{""value"": 8}",int
momentum,484,"{""value"": 0.90}",float
max_depth,929,"{""value"": 21}",int
min_samples_leaf,1350,"{""value"": 6}",int
batch_size,807,"{""value"": 128}",int
patience,559,"{""value"": 8}",int
dropout,508,"{""value"": 0.05}",float
num_epochs,1257,"{""value"": 169}",int
subsample,573,"{""value"": 0.65}",float
loss_function,699,"{""value"": ""mse""}",enum
learning_rate,718,"{""value"": 0.00457}",float
random_seed,695,"{""value"": 92314}",int
weight_decay,1161,"{""value"": 0.00086}",float
num_layers,567,"{""value"": 7}",int
colsample_bytree,777,"{""value"": 0.59}",float
batch_size,1027,"{""value"": 128}",int
subsample,126,"{""value"": 0.92}",float
random_seed,897,"{""value"": 49200}",int
min_samples_split,1329,"{""value"": 11}",int
colsample_bytree,614,"{""value"": 0.88}",float
activation,68,"{""value"": ""selu""}",enum
momentum,249,"{""value"": 0.12}",float
hidden_size,295,"{""value"": 32}",int
learning_rate,58,"{""value"": 0.00248}",float
min_samples_leaf,454,"{""value"": 6}",int
optimizer,1203,"{""value"": ""adam""}",enum
num_epochs,622,"{""value"": 20}",int
regularization_lambda,1373,"{""value"": 0.18}",float
max_depth,351,"{""value"": 14}",int
loss_function,977,"{""value"": ""mse""}",enum
num_layers,1130,"{""value"": 4}",int
patience,1255,"{""value"": 14}",int
weight_decay,709,"{""value"": 0.00711}",float
early_stopping_rounds,736,"{""value"": 17}",int
dropout,304,"{""value"": 0.58}",float
patience,1293,"{""value"": 14}",int
random_seed,534,"{""value"": 91821}",int
optimizer,318,"{""value"": ""rmsprop""}",enum
num_layers,737,"{""value"": 7}",int
colsample_bytree,1421,"{""value"": 0.63}",float
batch_size,1048,"{""value"": 16}",int
early_stopping_rounds,1040,"{""value"": 11}",int
subsample,510,"{""value"": 0.50}",float
regularization_lambda,78,"{""value"": 0.87}",float
learning_rate,230,"{""value"": 0.00498}",float
max_depth,945,"{""value"": 23}",int
num_epochs,174,"{""value"": 163}",int
hidden_size,1136,"{""value"": 32}",int
weight_decay,545,"{""value"": 0.00023}",float
momentum,176,"{""value"": 0.61}",float
dropout,663,"{""value"": 0.54}",float
min_samples_leaf,360,"{""value"": 1}",int
loss_function,696,"{""value"": ""cross_entropy""}",enum
min_samples_split,1152,"{""value"": 13}",int
activation,998,"{""value"": ""selu""}",enum
patience,522,"{""value"": 7}",int
min_samples_split,1160,"{""value"": 13}",int
learning_rate,209,"{""value"": 0.00473}",float
weight_decay,6,"{""value"": 0.00927}",float
activation,112,"{""value"": ""tanh""}",enum
subsample,778,"{""value"": 0.67}",float
hidden_size,1096,"{""value"": 64}",int
min_samples_leaf,144,"{""value"": 6}",int
max_depth,4,"{""value"": 3}",int
optimizer,314,"{""value"": ""rmsprop""}",enum
batch_size,271,"{""value"": 128}",int
early_stopping_rounds,893,"{""value"": 8}",int
loss_function,200,"{""value"": ""mse""}",enum
dropout,744,"{""value"": 0.16}",float
num_epochs,845,"{""value"": 90}",int
momentum,502,"{""value"": 0.16}",float
random_seed,88,"{""value"": 86447}",int
colsample_bytree,1463,"{""value"": 0.88}",float
regularization_lambda,1094,"{""value"": 0.04}",float
num_layers,1234,"{""value"": 4}",int
subsample,193,"{""value"": 0.80}",float
dropout,740,"{""value"": 0.42}",float
hidden_size,1135,"{""value"": 16}",int
colsample_bytree,340,"{""value"": 0.95}",float
loss_function,840,"{""value"": ""cross_entropy""}",enum
num_layers,524,"{""value"": 5}",int
early_stopping_rounds,1036,"{""value"": 18}",int
min_samples_leaf,974,"{""value"": 6}",int
num_epochs,1090,"{""value"": 132}",int
regularization_lambda,558,"{""value"": 0.57}",float
random_seed,417,"{""value"": 33943}",int
max_depth,654,"{""value"": 13}",int
min_samples_split,1280,"{""value"": 12}",int
weight_decay,819,"{""value"": 0.00674}",float
activation,672,"{""value"": ""relu""}",enum
momentum,84,"{""value"": 0.57}",float
patience,334,"{""value"": 19}",int
learning_rate,1291,"{""value"": 0.00358}",float
optimizer,1289,"{""value"": ""adam""}",enum
batch_size,149,"{""value"": 16}",int
subsample,690,"{""value"": 0.72}",float
learning_rate,339,"{""value"": 0.00584}",float
max_depth,163,"{""value"": 12}",int
weight_decay,570,"{""value"": 0.00306}",float
num_epochs,348,"{""value"": 48}",int
colsample_bytree,1331,"{""value"": 0.76}",float
momentum,844,"{""value"": 0.98}",float
early_stopping_rounds,769,"{""value"": 10}",int
patience,1076,"{""value"": 14}",int
hidden_size,471,"{""value"": 128}",int
dropout,752,"{""value"": 0.43}",float
num_layers,1428,"{""value"": 7}",int
loss_function,473,"{""value"": ""mae""}",enum
min_samples_split,370,"{""value"": 10}",int
min_samples_leaf,556,"{""value"": 10}",int
activation,444,"{""value"": ""selu""}",enum
random_seed,934,"{""value"": 49847}",int
batch_size,122,"{""value"": 16}",int
regularization_lambda,357,"{""value"": 0.72}",float
optimizer,456,"{""value"": ""rmsprop""}",enum
dropout,1126,"{""value"": 0.46}",float
optimizer,76,"{""value"": ""rmsprop""}",enum
min_samples_split,1083,"{""value"": 10}",int
activation,393,"{""value"": ""relu""}",enum
subsample,320,"{""value"": 0.68}",float
hidden_size,180,"{""value"": 64}",int
max_depth,824,"{""value"": 10}",int
colsample_bytree,105,"{""value"": 0.78}",float
early_stopping_rounds,433,"{""value"": 36}",int
min_samples_leaf,1220,"{""value"": 2}",int
batch_size,391,"{""value"": 16}",int
loss_function,1085,"{""value"": ""cross_entropy""}",enum
num_epochs,698,"{""value"": 163}",int
regularization_lambda,453,"{""value"": 0.42}",float
weight_decay,818,"{""value"": 0.00976}",float
momentum,726,"{""value"": 0.75}",float
random_seed,597,"{""value"": 87642}",int
num_layers,827,"{""value"": 5}",int
patience,277,"{""value"": 14}",int
learning_rate,806,"{""value"": 0.00700}",float
activation,1227,"{""value"": ""relu""}",enum
subsample,329,"{""value"": 0.50}",float
hidden_size,1410,"{""value"": 32}",int
max_depth,189,"{""value"": 5}",int
colsample_bytree,1427,"{""value"": 0.58}",float
early_stopping_rounds,795,"{""value"": 6}",int
min_samples_leaf,1495,"{""value"": 6}",int
batch_size,661,"{""value"": 64}",int
loss_function,1447,"{""value"": ""mse""}",enum
num_epochs,939,"{""value"": 110}",int
regularization_lambda,732,"{""value"": 1.00}",float
weight_decay,886,"{""value"": 0.00052}",float
momentum,1437,"{""value"": 0.28}",float
random_seed,475,"{""value"": 72474}",int
num_layers,599,"{""value"": 10}",int
patience,262,"{""value"": 5}",int
learning_rate,915,"{""value"": 0.00361}",float
dropout,963,"{""value"": 0.44}",float
optimizer,298,"{""value"": ""rmsprop""}",enum
min_samples_split,299,"{""value"": 16}",int
loss_function,810,"{""value"": ""mae""}",enum
min_samples_leaf,140,"{""value"": 6}",int
optimizer,1107,"{""value"": ""sgd""}",enum
weight_decay,461,"{""value"": 0.00819}",float
num_layers,972,"{""value"": 8}",int
early_stopping_rounds,853,"{""value"": 10}",int
regularization_lambda,1315,"{""value"": 0.52}",float
random_seed,523,"{""value"": 84729}",int
min_samples_split,1151,"{""value"": 17}",int
patience,197,"{""value"": 19}",int
max_depth,891,"{""value"": 12}",int
activation,1353,"{""value"": ""relu""}",enum
learning_rate,516,"{""value"": 0.00692}",float
batch_size,359,"{""value"": 256}",int
hidden_size,1374,"{""value"": 64}",int
num_epochs,1055,"{""value"": 198}",int
subsample,1453,"{""value"": 0.73}",float
dropout,110,"{""value"": 0.57}",float
colsample_bytree,636,"{""value"": 0.94}",float
momentum,621,"{""value"": 0.88}",float
patience,701,"{""value"": 9}",int
optimizer,25,"{""value"": ""rmsprop""}",enum
activation,788,"{""value"": ""relu""}",enum
regularization_lambda,676,"{""value"": 0.29}",float
dropout,421,"{""value"": 0.39}",float
num_layers,734,"{""value"": 1}",int
early_stopping_rounds,494,"{""value"": 10}",int
subsample,1079,"{""value"": 0.97}",float
random_seed,150,"{""value"": 31119}",int
min_samples_leaf,1388,"{""value"": 3}",int
max_depth,895,"{""value"": 24}",int
weight_decay,793,"{""value"": 0.00849}",float
batch_size,158,"{""value"": 128}",int
momentum,1064,"{""value"": 0.29}",float
hidden_size,1028,"{""value"": 128}",int
min_samples_split,948,"{""value"": 11}",int
learning_rate,1347,"{""value"": 0.00781}",float
colsample_bytree,1215,"{""value"": 0.73}",float
loss_function,109,"{""value"": ""mse""}",enum
num_epochs,632,"{""value"": 18}",int
colsample_bytree,878,"{""value"": 0.59}",float
early_stopping_rounds,476,"{""value"": 11}",int
learning_rate,590,"{""value"": 0.00469}",float
optimizer,616,"{""value"": ""rmsprop""}",enum
num_epochs,415,"{""value"": 99}",int
loss_function,595,"{""value"": ""huber""}",enum
hidden_size,1407,"{""value"": 512}",int
random_seed,56,"{""value"": 94091}",int
max_depth,1278,"{""value"": 22}",int
num_layers,719,"{""value"": 5}",int
activation,1468,"{""value"": ""sigmoid""}",enum
patience,615,"{""value"": 8}",int
dropout,1150,"{""value"": 0.53}",float
batch_size,1479,"{""value"": 32}",int
regularization_lambda,32,"{""value"": 0.94}",float
weight_decay,1307,"{""value"": 0.00443}",float
subsample,753,"{""value"": 0.84}",float
min_samples_split,87,"{""value"": 12}",int
momentum,1193,"{""value"": 0.62}",float
min_samples_leaf,988,"{""value"": 10}",int
weight_decay,898,"{""value"": 0.00709}",float
early_stopping_rounds,814,"{""value"": 21}",int
dropout,910,"{""value"": 0.00}",float
batch_size,1405,"{""value"": 256}",int
subsample,854,"{""value"": 0.61}",float
random_seed,973,"{""value"": 39391}",int
min_samples_split,480,"{""value"": 14}",int
colsample_bytree,374,"{""value"": 0.73}",float
activation,1308,"{""value"": ""selu""}",enum
momentum,512,"{""value"": 0.28}",float
hidden_size,683,"{""value"": 64}",int
learning_rate,1472,"{""value"": 0.00158}",float
min_samples_leaf,518,"{""value"": 1}",int
optimizer,1147,"{""value"": ""sgd""}",enum
num_epochs,838,"{""value"": 16}",int
regularization_lambda,36,"{""value"": 0.67}",float
max_depth,721,"{""value"": 5}",int
loss_function,1149,"{""value"": ""huber""}",enum
num_layers,520,"{""value"": 1}",int
patience,1386,"{""value"": 4}",int
early_stopping_rounds,160,"{""value"": 29}",int
learning_rate,727,"{""value"": 0.00291}",float
weight_decay,373,"{""value"": 0.00729}",float
random_seed,928,"{""value"": 52968}",int
batch_size,31,"{""value"": 128}",int
hidden_size,124,"{""value"": 32}",int
colsample_bytree,335,"{""value"": 0.54}",float
regularization_lambda,1382,"{""value"": 0.85}",float
min_samples_split,997,"{""value"": 14}",int
loss_function,92,"{""value"": ""huber""}",enum
max_depth,1175,"{""value"": 10}",int
num_epochs,61,"{""value"": 143}",int
activation,625,"{""value"": ""gelu""}",enum
momentum,791,"{""value"": 0.16}",float
subsample,260,"{""value"": 0.81}",float
patience,1392,"{""value"": 19}",int
min_samples_leaf,216,"{""value"": 8}",int
dropout,1221,"{""value"": 0.27}",float
optimizer,890,"{""value"": ""sgd""}",enum
num_layers,1325,"{""value"": 4}",int
optimizer,964,"{""value"": ""rmsprop""}",enum
batch_size,371,"{""value"": 64}",int
subsample,338,"{""value"": 0.90}",float
dropout,1259,"{""value"": 0.02}",float
hidden_size,1031,"{""value"": 512}",int
colsample_bytree,138,"{""value"": 0.53}",float
loss_function,275,"{""value"": ""huber""}",enum
num_layers,369,"{""value"": 8}",int
early_stopping_rounds,553,"{""value"": 44}",int
min_samples_leaf,529,"{""value"": 5}",int
num_epochs,990,"{""value"": 40}",int
regularization_lambda,776,"{""value"": 0.96}",float
random_seed,164,"{""value"": 33260}",int
max_depth,1002,"{""value"": 8}",int
min_samples_split,1337,"{""value"": 3}",int
weight_decay,949,"{""value"": 0.00278}",float
activation,1431,"{""value"": ""gelu""}",enum
momentum,183,"{""value"": 0.37}",float
patience,833,"{""value"": 10}",int
learning_rate,511,"{""value"": 0.00645}",float
weight_decay,771,"{""value"": 0.00894}",float
num_layers,1460,"{""value"": 8}",int
early_stopping_rounds,17,"{""value"": 50}",int
regularization_lambda,720,"{""value"": 0.60}",float
random_seed,761,"{""value"": 57662}",int
min_samples_split,1239,"{""value"": 9}",int
patience,585,"{""value"": 6}",int
max_depth,119,"{""value"": 19}",int
activation,367,"{""value"": ""sigmoid""}",enum
learning_rate,1099,"{""value"": 0.00881}",float
batch_size,822,"{""value"": 16}",int
hidden_size,188,"{""value"": 256}",int
num_epochs,114,"{""value"": 122}",int
subsample,143,"{""value"": 0.83}",float
dropout,77,"{""value"": 0.00}",float
colsample_bytree,916,"{""value"": 0.77}",float
momentum,250,"{""value"": 0.14}",float
loss_function,1484,"{""value"": ""huber""}",enum
min_samples_leaf,831,"{""value"": 7}",int
optimizer,670,"{""value"": ""adam""}",enum
min_samples_leaf,487,"{""value"": 2}",int
weight_decay,862,"{""value"": 0.00810}",float
batch_size,1320,"{""value"": 32}",int
momentum,323,"{""value"": 0.11}",float
early_stopping_rounds,1210,"{""value"": 23}",int
learning_rate,867,"{""value"": 0.00764}",float
random_seed,714,"{""value"": 76020}",int
dropout,1356,"{""value"": 0.18}",float
min_samples_split,375,"{""value"": 5}",int
colsample_bytree,1430,"{""value"": 0.72}",float
loss_function,256,"{""value"": ""mse""}",enum
optimizer,117,"{""value"": ""sgd""}",enum
activation,414,"{""value"": ""selu""}",enum
hidden_size,1342,"{""value"": 128}",int
num_epochs,953,"{""value"": 20}",int
regularization_lambda,1277,"{""value"": 0.51}",float
num_layers,1003,"{""value"": 7}",int
subsample,448,"{""value"": 0.88}",float
max_depth,846,"{""value"": 16}",int
patience,803,"{""value"": 4}",int
weight_decay,399,"{""value"": 0.00752}",float
activation,881,"{""value"": ""tanh""}",enum
momentum,500,"{""value"": 0.87}",float
patience,1077,"{""value"": 7}",int
learning_rate,383,"{""value"": 0.00444}",float
optimizer,1488,"{""value"": ""sgd""}",enum
batch_size,392,"{""value"": 32}",int
subsample,280,"{""value"": 0.87}",float
dropout,179,"{""value"": 0.18}",float
hidden_size,1016,"{""value"": 32}",int
colsample_bytree,576,"{""value"": 0.79}",float
loss_function,1226,"{""value"": ""cross_entropy""}",enum
num_layers,1115,"{""value"": 5}",int
early_stopping_rounds,379,"{""value"": 12}",int
min_samples_leaf,1185,"{""value"": 9}",int
num_epochs,728,"{""value"": 196}",int
regularization_lambda,86,"{""value"": 0.69}",float
random_seed,1124,"{""value"": 83818}",int
max_depth,741,"{""value"": 17}",int
min_samples_split,1053,"{""value"": 4}",int
regularization_lambda,131,"{""value"": 0.87}",float
optimizer,1263,"{""value"": ""rmsprop""}",enum
random_seed,688,"{""value"": 69574}",int
learning_rate,1170,"{""value"": 0.00820}",float
colsample_bytree,1367,"{""value"": 0.99}",float
patience,938,"{""value"": 9}",int
max_depth,859,"{""value"": 5}",int
batch_size,887,"{""value"": 32}",int
early_stopping_rounds,989,"{""value"": 11}",int
hidden_size,1122,"{""value"": 512}",int
dropout,987,"{""value"": 0.18}",float
min_samples_split,90,"{""value"": 6}",int
num_layers,825,"{""value"": 9}",int
num_epochs,38,"{""value"": 19}",int
momentum,705,"{""value"": 0.74}",float
subsample,638,"{""value"": 0.93}",float
loss_function,1292,"{""value"": ""mse""}",enum
min_samples_leaf,1414,"{""value"": 9}",int
weight_decay,1057,"{""value"": 0.00852}",float
activation,1251,"{""value"": ""tanh""}",enum
colsample_bytree,1396,"{""value"": 0.54}",float
patience,175,"{""value"": 11}",int
max_depth,37,"{""value"": 15}",int
batch_size,1010,"{""value"": 256}",int
early_stopping_rounds,1270,"{""value"": 47}",int
hidden_size,212,"{""value"": 32}",int
dropout,218,"{""value"": 0.18}",float
min_samples_split,607,"{""value"": 6}",int
num_layers,1452,"{""value"": 2}",int
num_epochs,783,"{""value"": 38}",int
momentum,255,"{""value"": 0.09}",float
subsample,679,"{""value"": 0.96}",float
loss_function,1357,"{""value"": ""cross_entropy""}",enum
min_samples_leaf,467,"{""value"": 5}",int
weight_decay,1015,"{""value"": 0.00342}",float
activation,441,"{""value"": ""sigmoid""}",enum
regularization_lambda,1445,"{""value"": 0.16}",float
optimizer,1454,"{""value"": ""rmsprop""}",enum
random_seed,1070,"{""value"": 23634}",int
learning_rate,711,"{""value"": 0.00840}",float
num_epochs,412,"{""value"": 40}",int
loss_function,1313,"{""value"": ""mae""}",enum
hidden_size,396,"{""value"": 128}",int
random_seed,1116,"{""value"": 26043}",int
max_depth,1196,"{""value"": 14}",int
num_layers,644,"{""value"": 3}",int
activation,1182,"{""value"": ""relu""}",enum
patience,184,"{""value"": 15}",int
dropout,1032,"{""value"": 0.53}",float
batch_size,1343,"{""value"": 16}",int
regularization_lambda,394,"{""value"": 0.86}",float
weight_decay,704,"{""value"": 0.01000}",float
subsample,418,"{""value"": 0.59}",float
min_samples_split,956,"{""value"": 17}",int
momentum,1393,"{""value"": 0.60}",float
min_samples_leaf,152,"{""value"": 3}",int
colsample_bytree,1433,"{""value"": 0.77}",float
early_stopping_rounds,1377,"{""value"": 42}",int
learning_rate,1197,"{""value"": 0.00759}",float
optimizer,310,"{""value"": ""sgd""}",enum
dropout,12,"{""value"": 0.55}",float
max_depth,750,"{""value"": 23}",int
min_samples_split,1038,"{""value"": 13}",int
num_epochs,754,"{""value"": 48}",int
activation,108,"{""value"": ""sigmoid""}",enum
subsample,1457,"{""value"": 0.51}",float
random_seed,582,"{""value"": 67646}",int
num_layers,135,"{""value"": 10}",int
momentum,1351,"{""value"": 0.44}",float
min_samples_leaf,575,"{""value"": 2}",int
learning_rate,1262,"{""value"": 0.00720}",float
batch_size,937,"{""value"": 32}",int
loss_function,1379,"{""value"": ""huber""}",enum
weight_decay,465,"{""value"": 0.00504}",float
hidden_size,865,"{""value"": 32}",int
optimizer,185,"{""value"": ""rmsprop""}",enum
colsample_bytree,331,"{""value"": 0.59}",float
early_stopping_rounds,707,"{""value"": 17}",int
patience,1306,"{""value"": 16}",int
regularization_lambda,468,"{""value"": 0.71}",float
learning_rate,1067,"{""value"": 0.00151}",float
batch_size,344,"{""value"": 128}",int
loss_function,586,"{""value"": ""mse""}",enum
weight_decay,1404,"{""value"": 0.00755}",float
hidden_size,896,"{""value"": 16}",int
